SA1_CODE_2021,zone_tier,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
11103122527,core,77,188,0,0,15,27,16,31,12,15,0,0,0,0,0,0,0,15,13,30,0,0,0,0,0,0,0,0,0,0,0,0,110,245,4,..,116,245
11103122528,core,119,340,0,0,5,16,5,16,4,6,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,127,363,13,..,139,363
11103122529,core,90,237,4,7,0,4,11,15,0,5,0,0,8,12,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,103,264,12,..,115,264
11103122530,core,150,395,18,36,11,29,27,60,21,20,11,13,0,0,0,0,0,10,32,45,0,0,0,0,0,0,0,5,0,5,0,0,208,507,16,..,226,507
11103122531,core,112,292,5,3,4,5,10,10,3,17,0,0,0,0,0,0,3,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,128,323,3,..,136,323
11103122532,core,111,274,3,5,0,0,3,5,0,0,13,30,0,0,0,0,7,3,19,32,0,0,0,0,0,0,0,0,0,0,0,0,129,309,3,..,133,309
11103122533,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
11103122534,core,159,469,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,470,3,..,162,470
11103122535,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
11103122536,core,117,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,324,0,..,117,324
11103122537,core,129,366,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,373,7,..,141,373
11103122538,core,93,265,9,17,0,0,9,17,107,160,0,0,0,0,0,0,0,3,112,160,0,0,0,0,0,0,0,0,0,0,0,0,217,449,19,..,233,449
11103122539,core,125,310,15,16,28,50,43,67,43,50,38,67,0,0,0,0,0,3,82,121,0,0,0,0,0,0,0,3,0,3,0,0,255,503,34,..,284,503
11103122540,core,148,390,9,19,15,32,28,46,0,5,0,0,0,0,0,0,4,5,6,14,0,0,0,0,0,0,0,0,0,0,0,3,183,451,14,..,197,451
11103122541,core,98,253,3,8,3,9,7,16,14,28,0,0,0,0,0,0,3,0,16,30,0,0,0,0,0,0,0,0,0,0,0,0,125,295,4,..,134,295
11103122542,core,75,196,3,3,5,5,4,12,5,17,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,86,226,10,..,97,226
11103122543,core,142,377,25,45,15,21,43,65,14,14,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,194,460,5,..,200,460
11103122601,core,143,390,29,48,0,0,29,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,442,7,..,178,442
11103122602,core,66,200,3,12,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,211,5,..,73,211
11103122603,core,184,556,31,73,27,57,54,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,693,10,..,246,693
11103122604,core,93,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,264,9,..,103,264
11103122605,core,175,519,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,525,6,..,179,525
11103122606,core,92,280,0,0,5,13,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,291,3,..,99,291
11103122608,core,160,413,9,16,0,0,9,16,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,169,430,4,..,176,430
11103122609,core,148,439,5,4,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,447,6,..,157,447
11103122610,core,97,267,25,37,0,0,25,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,298,3,..,123,298
11103122611,core,101,280,4,12,5,11,9,20,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,113,299,5,..,117,299
11103122613,core,100,304,6,10,5,9,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,325,8,..,115,325
11103122614,core,123,394,7,21,4,9,14,27,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,135,425,3,..,137,425
11103122615,core,149,427,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,435,3,..,150,435
11103122616,core,77,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,245,0,..,77,245
11103122617,core,101,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,107,282,0,..,107,282
11103122618,core,157,397,0,0,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,408,11,..,166,408
11103122619,core,107,292,23,43,0,4,21,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,347,3,..,139,347
11103122620,core,95,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,242,0,..,97,242
11103122621,core,63,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,178,0,..,64,178
11103122622,core,3,9,0,0,10,20,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,32,0,..,14,32
11103122623,core,110,317,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,114,326,3,..,121,326
11103122624,core,116,332,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,337,5,..,120,337
11103122625,core,136,381,22,35,5,8,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,422,7,..,170,422
11103122626,core,129,349,14,32,0,0,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,384,5,..,146,384
11103122627,core,84,232,13,14,0,10,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,255,0,..,102,255
11103122628,core,153,397,5,3,0,6,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,407,11,..,165,407
11103122629,core,151,490,7,16,0,3,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,507,12,..,165,507
11103122631,core,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,..,5,20
11103122632,core,83,307,13,29,0,0,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,340,4,..,101,340
11103122633,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
11103122634,core,148,464,15,44,4,11,18,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,519,7,..,168,519
11103122635,core,127,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,127,442,7,..,132,442
11103122636,core,150,496,42,106,10,25,48,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,629,3,..,207,629
11103122637,core,286,934,37,111,6,11,40,116,0,0,0,0,0,0,0,0,16,31,16,31,0,0,0,0,0,0,0,0,0,0,0,0,342,1085,12,..,357,1085
11103122638,core,237,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,804,0,..,246,804
11103122639,core,148,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,490,7,..,155,490
11103122640,core,232,803,28,52,29,65,56,109,0,4,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,289,923,3,..,293,923
11103122641,core,164,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,589,6,..,172,589
11103122642,core,216,731,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,736,0,..,219,736
11103122701,core,73,191,20,45,0,0,20,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,236,0,..,93,236
11103122702,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
11103122703,core,83,208,8,8,24,39,29,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,4,12,0,0,121,263,18,..,131,263
