SA1_CODE_2021,zone_tier,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
11103122511,core,0,3,4,0,5,8,0,0,3,3,0,4,0,5,7,10,18,25,3,0,4,7,4,14,5,6,12,4,0,3,0,0,0,18,20,34,0,5,7,0,4,3,4,4,11,0,0,3,4,0,4,11,12,25,0,8,4,3,0,8,0,0,0,0,0,0,7,0,7,14,14,25,0,6,3,4,0,9,0,0,0,9,0,6,0,0,0,13,9,17,0,3,3,7,0,9,0,0,0,3,0,0,6,0,4,9,4,17,0,0,5,0,3,4,3,5,6,4,0,3,5,0,3,13,9,25,4,0,0,4,4,4,0,3,10,0,5,4,5,5,10,16,18,29,6,7,9,5,0,6,4,5,7,0,5,8,0,0,0,13,16,31,0,0,0,8,5,7,4,0,8,0,0,4,3,3,11,18,17,33,0,5,3,0,0,0,3,5,4,3,0,3,0,0,0,6,9,17,3,3
11103122512,core,0,0,5,0,0,0,4,0,3,3,0,5,0,0,3,12,5,15,4,4,7,0,0,0,0,7,3,0,0,3,3,3,8,11,10,23,4,0,4,9,0,4,4,7,9,0,3,3,0,3,3,10,11,18,4,10,9,6,0,0,4,0,4,4,3,8,3,3,5,22,12,31,0,0,0,0,4,4,6,0,6,0,0,0,0,0,0,5,9,13,0,3,3,0,3,3,0,0,0,0,0,4,4,8,9,4,12,18,0,4,4,7,0,7,0,0,3,3,3,7,0,0,0,11,9,20,5,0,3,5,3,7,8,0,8,3,5,3,3,0,3,18,5,28,0,4,5,0,4,4,3,9,10,3,0,0,3,0,4,7,14,26,0,0,0,4,0,5,0,7,5,0,5,5,8,0,9,8,13,23,0,4,3,0,3,3,0,4,8,0,0,0,3,0,4,10,17,22,0,3
11103122513,core,0,3,3,4,0,5,3,3,6,0,3,9,5,3,7,17,11,26,3,4,6,5,0,5,8,6,15,3,0,4,7,7,14,24,16,46,9,5,13,6,6,18,4,4,5,10,3,12,11,6,11,35,28,63,8,4,13,6,3,10,7,5,12,0,5,9,4,0,6,29,25,53,4,0,4,4,3,7,7,4,9,4,4,8,0,0,4,19,13,32,3,4,3,3,0,5,4,0,5,0,0,0,0,3,3,12,13,22,5,0,3,0,5,9,0,0,0,0,0,4,3,0,3,13,9,18,0,0,4,4,5,15,3,0,3,0,6,6,3,6,11,16,28,38,6,4,10,3,0,8,3,3,8,3,4,13,3,3,4,19,17,40,6,8,14,4,3,4,6,3,7,4,10,16,6,5,15,23,30,55,4,3,7,7,6,16,3,8,15,0,0,5,3,0,3,24,25,44,5,7
11103122514,core,7,4,8,0,5,10,0,0,5,0,0,0,8,3,12,18,14,26,3,5,4,6,3,11,4,0,5,7,0,6,3,5,8,17,12,31,0,0,7,3,0,5,3,0,6,4,0,8,7,0,7,18,16,32,0,0,5,3,4,5,0,0,0,0,0,3,6,3,4,10,17,26,0,0,3,4,0,5,0,6,7,0,0,0,9,0,8,20,8,25,3,6,6,4,3,4,4,5,7,3,10,7,6,0,4,17,23,41,3,5,3,3,0,5,3,11,9,0,5,9,3,4,5,9,24,41,0,6,9,5,0,12,3,9,11,0,0,0,0,0,0,21,17,35,0,0,3,6,0,6,0,0,4,4,3,8,3,9,10,14,18,32,4,5,14,4,0,8,5,4,11,4,6,10,0,3,7,20,17,42,5,3,11,5,4,12,0,0,0,0,4,3,4,0,4,11,17,30,5,9
11103122515,core,5,0,5,6,0,6,5,0,7,0,4,4,0,0,3,14,7,19,0,0,0,0,5,5,9,0,9,0,0,0,3,0,0,9,9,20,0,4,4,3,3,8,3,0,5,4,0,4,0,3,5,11,9,25,3,0,3,4,3,5,0,0,5,4,0,4,0,0,4,16,5,23,9,0,8,0,0,0,5,4,6,0,5,5,3,0,3,18,8,23,0,0,4,3,4,3,0,0,4,0,4,5,0,0,0,4,15,17,3,3,0,5,3,3,0,0,0,7,7,7,0,0,5,15,7,26,0,0,0,4,0,4,0,4,5,4,3,9,0,0,0,9,8,23,0,4,3,0,6,3,0,4,4,0,0,6,0,0,5,3,16,19,0,0,3,0,5,0,7,0,5,0,5,5,4,10,12,10,16,23,0,4,3,7,0,6,0,3,3,5,0,3,0,8,9,10,14,28,0,4
11103122516,core,0,4,5,0,5,10,0,0,3,0,7,6,0,0,0,4,11,18,0,3,0,0,7,8,5,0,4,3,3,3,5,0,3,15,11,21,0,4,4,0,0,0,0,3,8,11,3,12,4,0,4,15,10,25,6,5,10,3,4,3,4,0,6,0,0,0,6,6,14,18,17,32,0,4,5,6,3,5,6,3,11,5,4,13,0,5,8,15,17,36,9,4,9,7,3,8,0,7,8,3,3,11,0,9,9,20,24,48,0,6,11,5,0,10,5,4,6,4,7,10,4,4,16,21,23,50,3,4,6,4,0,5,8,8,11,4,0,3,0,4,6,16,19,37,0,5,6,6,0,9,0,0,0,3,7,7,4,0,5,19,12,28,0,0,4,0,6,4,5,0,11,8,0,7,3,5,8,27,15,34,4,5,11,0,3,8,3,3,3,6,9,12,3,4,7,13,23,32,9,5
11103122517,core,4,4,8,0,0,0,0,0,0,0,3,4,0,3,4,3,11,18,0,0,3,4,4,4,0,5,3,0,3,5,4,5,4,10,14,23,5,5,0,0,0,7,4,3,8,0,3,0,5,0,5,13,12,19,4,0,7,6,3,6,5,0,7,3,0,5,0,0,0,17,10,21,3,0,0,0,0,4,0,0,3,3,0,3,0,0,0,7,11,20,6,3,8,0,3,4,0,5,6,0,0,6,0,0,5,12,14,29,0,0,0,9,6,7,0,7,3,5,3,5,0,4,6,10,13,25,5,4,9,0,0,5,7,0,8,0,3,4,8,0,7,24,11,33,0,3,7,4,0,5,0,0,0,0,4,6,0,0,0,8,9,16,3,3,4,3,8,9,4,3,3,8,4,12,3,5,9,18,13,35,0,3,3,8,0,8,4,0,4,10,0,7,0,0,4,21,3,29,0,0
11103122518,core,4,0,4,3,3,4,3,0,8,3,3,6,0,0,0,12,10,20,0,5,10,6,10,9,5,7,10,0,0,3,3,0,9,9,18,33,3,4,10,0,7,6,0,0,4,8,0,12,0,8,9,14,21,35,4,0,7,0,9,6,4,0,5,3,0,10,0,4,6,15,16,33,3,8,7,8,0,16,5,5,6,0,6,4,3,4,8,21,22,43,5,4,7,3,3,8,5,0,5,0,0,0,5,0,5,17,10,27,3,7,12,0,0,4,3,0,5,0,9,9,5,4,3,14,17,29,3,3,6,0,0,4,4,0,6,3,0,4,0,8,4,14,14,32,9,3,9,5,4,8,3,3,3,0,4,3,7,6,9,18,18,37,0,3,9,4,0,3,0,7,8,3,10,11,5,4,11,16,24,38,8,3,11,4,0,8,0,3,7,0,5,6,0,0,0,15,19,33,3,3
11103122519,core,6,0,6,5,0,5,3,5,6,0,3,3,5,0,5,18,8,22,0,0,3,3,0,9,0,0,0,0,0,6,0,4,4,7,15,22,0,5,6,6,4,6,3,3,7,6,0,3,0,0,4,15,13,24,0,0,5,4,0,9,3,0,3,8,0,10,0,4,6,16,9,28,0,0,0,7,6,9,3,3,11,5,0,11,3,5,11,13,22,33,4,3,7,4,9,10,5,0,9,0,3,8,0,3,4,24,19,42,4,7,11,3,0,7,7,6,11,4,6,10,0,3,9,17,27,44,5,9,11,3,0,6,0,3,9,3,8,13,4,3,8,15,20,36,0,0,6,5,0,5,6,0,6,4,0,6,0,0,6,13,6,17,5,0,3,0,3,3,7,10,14,6,4,11,0,4,3,19,18,40,3,0,3,0,0,4,0,4,4,3,0,3,0,3,3,7,16,20,3,5
11103122520,core,0,0,4,0,0,0,4,0,4,0,0,0,3,0,3,6,0,11,0,0,0,4,0,5,0,0,0,0,0,0,3,0,3,3,5,11,0,3,3,0,0,0,0,0,5,0,5,7,0,4,4,6,12,18,3,0,6,4,0,5,3,3,4,0,0,3,0,0,0,15,5,22,0,0,4,3,4,6,0,3,3,0,4,4,0,0,5,4,12,20,0,0,0,0,6,6,0,0,4,3,0,3,4,0,3,7,7,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,7,7,0,0,0,0,7,3,3,5,4,0,0,0,0,0,3,5,9,17,0,6,3,5,8,6,5,0,4,0,3,3,4,0,3,7,14,26,5,0,0,0,3,3,4,0,4,7,7,8,4,0,4,10,14,18,0,0
