Year_Month,Location,Card_type,Trip
2020-06,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,7
2020-06,Newcastle Beach Light Rail,Adult,2177
2020-06,Newcastle Beach Light Rail,CTP,1321
2020-06,Newcastle Beach Light Rail,Child/Youth,291
2020-06,Newcastle Beach Light Rail,Concession,185
2020-06,Newcastle Beach Light Rail,Employee,10
2020-06,Newcastle Beach Light Rail,Free Travel,15
2020-06,Newcastle Beach Light Rail,School Student,57
2020-06,Newcastle Beach Light Rail,Senior/Pensioner,1791
2020-06,Newcastle Beach Light Rail,Sgl Trip LR Adult,25
2020-06,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,15
2020-06,Newcastle Interchange Light Rail,Adult,5849
2020-06,Newcastle Interchange Light Rail,CTP,2338
2020-06,Newcastle Interchange Light Rail,Child/Youth,511
2020-06,Newcastle Interchange Light Rail,Concession,538
2020-06,Newcastle Interchange Light Rail,Day Pass without SAF,1
2020-06,Newcastle Interchange Light Rail,Employee,49
2020-06,Newcastle Interchange Light Rail,Free Travel,74
2020-06,Newcastle Interchange Light Rail,School Student,266
2020-06,Newcastle Interchange Light Rail,Senior/Pensioner,3099
2020-06,Newcastle Interchange Light Rail,Sgl Trip LR Adult,59
2020-06,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,24
2020-06,Queens Wharf Light Rail,Adult,2393
2020-06,Queens Wharf Light Rail,CTP,998
2020-06,Queens Wharf Light Rail,Child/Youth,308
2020-06,Queens Wharf Light Rail,Concession,223
2020-06,Queens Wharf Light Rail,Employee,13
2020-06,Queens Wharf Light Rail,Free Travel,45
2020-06,Queens Wharf Light Rail,School Student,253
2020-06,Queens Wharf Light Rail,Senior/Pensioner,1977
2020-06,Queens Wharf Light Rail,Sgl Trip LR Adult,16
2020-06,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,22
2020-07,Civic Light Rail,Adult,2928
2020-07,Civic Light Rail,CTP,1625
2020-07,Civic Light Rail,Child/Youth,455
2020-07,Civic Light Rail,Concession,366
2020-07,Civic Light Rail,Day Pass without SAF,2
2020-07,Civic Light Rail,Employee,32
2020-07,Civic Light Rail,Free Travel,16
2020-07,Civic Light Rail,School Student,51
2020-07,Civic Light Rail,Senior/Pensioner,1161
2020-07,Civic Light Rail,Sgl Trip LR Adult,14
2020-07,Civic Light Rail,Sgl Trip LR Child/Youth,24
2020-07,Crown Street Light Rail,Adult,1507
2020-07,Crown Street Light Rail,CTP,900
2020-07,Crown Street Light Rail,Child/Youth,261
2020-07,Crown Street Light Rail,Concession,174
2020-07,Crown Street Light Rail,Employee,29
2020-07,Crown Street Light Rail,Free Travel,14
2020-07,Crown Street Light Rail,School Student,11
2020-07,Crown Street Light Rail,Senior/Pensioner,843
2020-07,Crown Street Light Rail,Sgl Trip LR Adult,15
2020-07,Crown Street Light Rail,Sgl Trip LR Child/Youth,12
2020-07,Honeysuckle Light Rail,Adult,2321
2020-07,Honeysuckle Light Rail,CTP,1298
2020-07,Honeysuckle Light Rail,Child/Youth,578
2020-07,Honeysuckle Light Rail,Concession,263
2020-07,Honeysuckle Light Rail,Employee,24
2020-07,Honeysuckle Light Rail,Free Travel,37
2020-07,Honeysuckle Light Rail,School Student,102
2020-07,Honeysuckle Light Rail,Senior/Pensioner,1618
2020-07,Honeysuckle Light Rail,Sgl Trip LR Adult,27
2020-07,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,20
2020-07,Newcastle Beach Light Rail,Adult,2740
2020-07,Newcastle Beach Light Rail,CTP,1700
2020-07,Newcastle Beach Light Rail,Child/Youth,711
2020-07,Newcastle Beach Light Rail,Concession,303
2020-07,Newcastle Beach Light Rail,Employee,25
2020-07,Newcastle Beach Light Rail,Free Travel,17
2020-07,Newcastle Beach Light Rail,School Student,44
2020-07,Newcastle Beach Light Rail,Senior/Pensioner,2082
2020-07,Newcastle Beach Light Rail,Sgl Trip LR Adult,30
2020-07,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,46
2020-07,Newcastle Interchange Light Rail,Adult,7135
2020-07,Newcastle Interchange Light Rail,CTP,3159
2020-07,Newcastle Interchange Light Rail,Child/Youth,1239
2020-07,Newcastle Interchange Light Rail,Concession,704
2020-07,Newcastle Interchange Light Rail,Employee,119
2020-07,Newcastle Interchange Light Rail,Free Travel,66
2020-07,Newcastle Interchange Light Rail,School Student,176
2020-07,Newcastle Interchange Light Rail,Senior/Pensioner,3690
2020-07,Newcastle Interchange Light Rail,Sgl Trip LR Adult,69
2020-07,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,106
2020-07,Queens Wharf Light Rail,Adult,2871
2020-07,Queens Wharf Light Rail,CTP,1341
2020-07,Queens Wharf Light Rail,Child/Youth,790
2020-07,Queens Wharf Light Rail,Concession,345
2020-07,Queens Wharf Light Rail,Employee,47
2020-07,Queens Wharf Light Rail,Free Travel,47
2020-07,Queens Wharf Light Rail,School Student,163
2020-07,Queens Wharf Light Rail,Senior/Pensioner,2216
2020-07,Queens Wharf Light Rail,Sgl Trip LR Adult,25
2020-07,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,50
2020-08,Civic Light Rail,Adult,2550
2020-08,Civic Light Rail,CTP,1588
2020-08,Civic Light Rail,Child/Youth,162
2020-08,Civic Light Rail,Concession,1388
2020-08,Civic Light Rail,Day Pass without SAF,1
2020-08,Civic Light Rail,Employee,31
2020-08,Civic Light Rail,Free Travel,8
2020-08,Civic Light Rail,School Student,83
2020-08,Civic Light Rail,Senior/Pensioner,925
2020-08,Civic Light Rail,Sgl Trip LR Adult,12
2020-08,Crown Street Light Rail,Adult,1099
2020-08,Crown Street Light Rail,CTP,701
2020-08,Crown Street Light Rail,Child/Youth,104
2020-08,Crown Street Light Rail,Concession,167
2020-08,Crown Street Light Rail,Employee,23
2020-08,Crown Street Light Rail,Free Travel,6
2020-08,Crown Street Light Rail,School Student,15
2020-08,Crown Street Light Rail,Senior/Pensioner,635
2020-08,Crown Street Light Rail,Sgl Trip LR Adult,8
2020-08,Crown Street Light Rail,Sgl Trip LR Child/Youth,1
2020-08,Honeysuckle Light Rail,Adult,1808
2020-08,Honeysuckle Light Rail,CTP,1049
2020-08,Honeysuckle Light Rail,Child/Youth,278
2020-08,Honeysuckle Light Rail,Concession,309
2020-08,Honeysuckle Light Rail,Day Pass without SAF,1
2020-08,Honeysuckle Light Rail,Employee,30
2020-08,Honeysuckle Light Rail,Free Travel,23
2020-08,Honeysuckle Light Rail,School Student,204
2020-08,Honeysuckle Light Rail,Senior/Pensioner,1431
2020-08,Honeysuckle Light Rail,Sgl Trip LR Adult,24
2020-08,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,6
2020-08,Newcastle Beach Light Rail,Adult,1933
2020-08,Newcastle Beach Light Rail,CTP,1418
2020-08,Newcastle Beach Light Rail,Child/Youth,279
2020-08,Newcastle Beach Light Rail,Concession,305
2020-08,Newcastle Beach Light Rail,Employee,22
2020-08,Newcastle Beach Light Rail,Free Travel,6
2020-08,Newcastle Beach Light Rail,School Student,94
2020-08,Newcastle Beach Light Rail,Senior/Pensioner,1570
2020-08,Newcastle Beach Light Rail,Sgl Trip LR Adult,24
2020-08,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,4
2020-08,Newcastle Interchange Light Rail,Adult,5586
2020-08,Newcastle Interchange Light Rail,CTP,2673
2020-08,Newcastle Interchange Light Rail,Child/Youth,482
2020-08,Newcastle Interchange Light Rail,Concession,1742
2020-08,Newcastle Interchange Light Rail,Day Pass without SAF,1
2020-08,Newcastle Interchange Light Rail,Employee,101
2020-08,Newcastle Interchange Light Rail,Free Travel,44
2020-08,Newcastle Interchange Light Rail,School Student,336
2020-08,Newcastle Interchange Light Rail,Senior/Pensioner,2712
2020-08,Newcastle Interchange Light Rail,Sgl Trip LR Adult,34
2020-08,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,19
2020-08,Queens Wharf Light Rail,Adult,2194
2020-08,Queens Wharf Light Rail,CTP,1217
2020-08,Queens Wharf Light Rail,Child/Youth,258
2020-08,Queens Wharf Light Rail,Concession,352
2020-08,Queens Wharf Light Rail,Day Pass without SAF,1
2020-08,Queens Wharf Light Rail,Employee,37
2020-08,Queens Wharf Light Rail,Free Travel,31
2020-08,Queens Wharf Light Rail,School Student,295
2020-08,Queens Wharf Light Rail,Senior/Pensioner,1654
2020-08,Queens Wharf Light Rail,Sgl Trip LR Adult,12
2020-08,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,6
2020-09,Civic Light Rail,Adult,2913
2020-09,Civic Light Rail,CTP,1918
2020-09,Civic Light Rail,Child/Youth,334
2020-09,Civic Light Rail,Concession,1265
2020-09,Civic Light Rail,Employee,11
2020-09,Civic Light Rail,Free Travel,14
2020-09,Civic Light Rail,School Student,116
2020-09,Civic Light Rail,Senior/Pensioner,1273
2020-09,Civic Light Rail,Sgl Trip LR Adult,23
2020-09,Civic Light Rail,Sgl Trip LR Child/Youth,10
2020-09,Crown Street Light Rail,Adult,1251
2020-09,Crown Street Light Rail,CTP,898
2020-09,Crown Street Light Rail,Child/Youth,192
2020-09,Crown Street Light Rail,Concession,192
2020-09,Crown Street Light Rail,Employee,25
2020-09,Crown Street Light Rail,Free Travel,10
2020-09,Crown Street Light Rail,School Student,19
2020-09,Crown Street Light Rail,Senior/Pensioner,853
2020-09,Crown Street Light Rail,Sgl Trip LR Adult,8
2020-09,Crown Street Light Rail,Sgl Trip LR Child/Youth,5
2020-09,Honeysuckle Light Rail,Adult,2140
2020-09,Honeysuckle Light Rail,CTP,1420
2020-09,Honeysuckle Light Rail,Child/Youth,641
2020-09,Honeysuckle Light Rail,Concession,330
2020-09,Honeysuckle Light Rail,Employee,38
2020-09,Honeysuckle Light Rail,Free Travel,20
2020-09,Honeysuckle Light Rail,School Student,308
2020-09,Honeysuckle Light Rail,Senior/Pensioner,1699
2020-09,Honeysuckle Light Rail,Sgl Trip LR Adult,18
2020-09,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,10
2020-09,Newcastle Beach Light Rail,Adult,2634
2020-09,Newcastle Beach Light Rail,CTP,1909
2020-09,Newcastle Beach Light Rail,Child/Youth,823
2020-09,Newcastle Beach Light Rail,Concession,370
2020-09,Newcastle Beach Light Rail,Employee,39
2020-09,Newcastle Beach Light Rail,Free Travel,26
2020-09,Newcastle Beach Light Rail,School Student,112
2020-09,Newcastle Beach Light Rail,Senior/Pensioner,2058
2020-09,Newcastle Beach Light Rail,Sgl Trip LR Adult,24
2020-09,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,31
2020-09,Newcastle Interchange Light Rail,Adult,6393
2020-09,Newcastle Interchange Light Rail,CTP,3243
2020-09,Newcastle Interchange Light Rail,Child/Youth,1149
2020-09,Newcastle Interchange Light Rail,Concession,1616
2020-09,Newcastle Interchange Light Rail,Employee,132
2020-09,Newcastle Interchange Light Rail,Free Travel,58
2020-09,Newcastle Interchange Light Rail,School Student,412
2020-09,Newcastle Interchange Light Rail,Senior/Pensioner,3426
2020-09,Newcastle Interchange Light Rail,Sgl Trip LR Adult,66
2020-09,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,42
2020-09,Queens Wharf Light Rail,Adult,2566
2020-09,Queens Wharf Light Rail,CTP,1482
2020-09,Queens Wharf Light Rail,Child/Youth,564
2020-09,Queens Wharf Light Rail,Concession,354
2020-09,Queens Wharf Light Rail,Day Pass without SAF,1
2020-09,Queens Wharf Light Rail,Employee,49
2020-09,Queens Wharf Light Rail,Free Travel,24
2020-09,Queens Wharf Light Rail,School Student,318
2020-09,Queens Wharf Light Rail,Senior/Pensioner,2162
2020-09,Queens Wharf Light Rail,Sgl Trip LR Adult,15
2020-09,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,17
2020-10,Civic Light Rail,Adult,3271
2020-10,Civic Light Rail,CTP,2265
2020-10,Civic Light Rail,Child/Youth,622
2020-10,Civic Light Rail,Concession,1220
2020-10,Civic Light Rail,Day Pass without SAF,2
2020-10,Civic Light Rail,Employee,38
2020-10,Civic Light Rail,Free Travel,21
2020-10,Civic Light Rail,School Student,64
2020-10,Civic Light Rail,Senior/Pensioner,1481
2020-10,Civic Light Rail,Sgl Trip LR Adult,30
2020-10,Civic Light Rail,Sgl Trip LR Child/Youth,14
2020-10,Crown Street Light Rail,Adult,1423
2020-10,Crown Street Light Rail,CTP,1096
2020-10,Crown Street Light Rail,Child/Youth,303
2020-10,Crown Street Light Rail,Concession,208
2020-10,Crown Street Light Rail,Day Pass without SAF,1
2020-10,Crown Street Light Rail,Employee,33
2020-10,Crown Street Light Rail,Free Travel,10
2020-10,Crown Street Light Rail,School Student,14
2020-10,Crown Street Light Rail,Senior/Pensioner,990
2020-10,Crown Street Light Rail,Sgl Trip LR Adult,8
2020-10,Crown Street Light Rail,Sgl Trip LR Child/Youth,4
2020-10,Honeysuckle Light Rail,Adult,2430
2020-10,Honeysuckle Light Rail,CTP,1689
2020-10,Honeysuckle Light Rail,Child/Youth,933
2020-10,Honeysuckle Light Rail,Concession,344
2020-10,Honeysuckle Light Rail,Employee,84
2020-10,Honeysuckle Light Rail,Free Travel,25
2020-10,Honeysuckle Light Rail,School Student,234
2020-10,Honeysuckle Light Rail,Senior/Pensioner,1913
2020-10,Honeysuckle Light Rail,Sgl Trip LR Adult,13
2020-10,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,26
2020-10,Newcastle Beach Light Rail,Adult,3071
2020-10,Newcastle Beach Light Rail,CTP,2336
2020-10,Newcastle Beach Light Rail,Child/Youth,1376
2020-10,Newcastle Beach Light Rail,Concession,388
2020-10,Newcastle Beach Light Rail,Employee,60
2020-10,Newcastle Beach Light Rail,Free Travel,16
2020-10,Newcastle Beach Light Rail,School Student,76
2020-10,Newcastle Beach Light Rail,Senior/Pensioner,2458
2020-10,Newcastle Beach Light Rail,Sgl Trip LR Adult,35
2020-10,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,47
2020-10,Newcastle Interchange Light Rail,Adult,7266
2020-10,Newcastle Interchange Light Rail,CTP,3884
2020-10,Newcastle Interchange Light Rail,Child/Youth,1661
2020-10,Newcastle Interchange Light Rail,Concession,1686
2020-10,Newcastle Interchange Light Rail,Day Pass without SAF,1
2020-10,Newcastle Interchange Light Rail,Employee,149
2020-10,Newcastle Interchange Light Rail,Free Travel,57
2020-10,Newcastle Interchange Light Rail,School Student,318
2020-10,Newcastle Interchange Light Rail,Senior/Pensioner,4188
2020-10,Newcastle Interchange Light Rail,Sgl Trip LR Adult,70
2020-10,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,71
2020-10,Queens Wharf Light Rail,Adult,2895
2020-10,Queens Wharf Light Rail,CTP,1840
2020-10,Queens Wharf Light Rail,Child/Youth,809
2020-10,Queens Wharf Light Rail,Concession,306
2020-10,Queens Wharf Light Rail,Employee,40
2020-10,Queens Wharf Light Rail,Free Travel,45
2020-10,Queens Wharf Light Rail,School Student,290
2020-10,Queens Wharf Light Rail,Senior/Pensioner,2697
2020-10,Queens Wharf Light Rail,Sgl Trip LR Adult,32
2020-10,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,34
2020-11,Civic Light Rail,Adult,3174
2020-11,Civic Light Rail,CTP,2170
2020-11,Civic Light Rail,Child/Youth,273
2020-11,Civic Light Rail,Concession,852
2020-11,Civic Light Rail,Employee,47
2020-11,Civic Light Rail,Free Travel,22
2020-11,Civic Light Rail,School Student,88
2020-11,Civic Light Rail,Senior/Pensioner,1511
2020-11,Civic Light Rail,Sgl Trip LR Adult,14
2020-11,Civic Light Rail,Sgl Trip LR Child/Youth,14
2020-11,Crown Street Light Rail,Adult,1323
2020-11,Crown Street Light Rail,CTP,1083
2020-11,Crown Street Light Rail,Child/Youth,140
2020-11,Crown Street Light Rail,Concession,169
2020-11,Crown Street Light Rail,Day Pass without SAF,1
2020-11,Crown Street Light Rail,Employee,30
2020-11,Crown Street Light Rail,Free Travel,14
2020-11,Crown Street Light Rail,School Student,29
2020-11,Crown Street Light Rail,Senior/Pensioner,1000
2020-11,Crown Street Light Rail,Sgl Trip LR Adult,13
2020-11,Crown Street Light Rail,Sgl Trip LR Child/Youth,4
2020-11,Honeysuckle Light Rail,Adult,2553
2020-11,Honeysuckle Light Rail,CTP,1711
2020-11,Honeysuckle Light Rail,Child/Youth,489
2020-11,Honeysuckle Light Rail,Concession,334
2020-11,Honeysuckle Light Rail,Day Pass without SAF,1
2020-11,Honeysuckle Light Rail,Employee,69
2020-11,Honeysuckle Light Rail,Free Travel,39
2020-11,Honeysuckle Light Rail,School Student,352
2020-11,Honeysuckle Light Rail,Senior/Pensioner,2005
2020-11,Honeysuckle Light Rail,Sgl Trip LR Adult,10
2020-11,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,2
2020-11,Newcastle Beach Light Rail,Adult,2600
2020-11,Newcastle Beach Light Rail,CTP,2242
2020-11,Newcastle Beach Light Rail,Child/Youth,544
2020-11,Newcastle Beach Light Rail,Concession,360
2020-11,Newcastle Beach Light Rail,Day Pass without SAF,2
2020-11,Newcastle Beach Light Rail,Employee,43
2020-11,Newcastle Beach Light Rail,Free Travel,17
2020-11,Newcastle Beach Light Rail,School Student,92
2020-11,Newcastle Beach Light Rail,Senior/Pensioner,2411
2020-11,Newcastle Beach Light Rail,Sgl Trip LR Adult,29
2020-11,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,22
2020-11,Newcastle Interchange Light Rail,Adult,7338
2020-11,Newcastle Interchange Light Rail,CTP,4171
2020-11,Newcastle Interchange Light Rail,Child/Youth,858
2020-11,Newcastle Interchange Light Rail,Concession,1286
2020-11,Newcastle Interchange Light Rail,Day Pass without SAF,3
2020-11,Newcastle Interchange Light Rail,Employee,116
2020-11,Newcastle Interchange Light Rail,Free Travel,77
2020-11,Newcastle Interchange Light Rail,School Student,455
2020-11,Newcastle Interchange Light Rail,Senior/Pensioner,4433
2020-11,Newcastle Interchange Light Rail,Sgl Trip LR Adult,62
2020-11,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,41
2020-11,Queens Wharf Light Rail,Adult,2777
2020-11,Queens Wharf Light Rail,CTP,1735
2020-11,Queens Wharf Light Rail,Child/Youth,397
2020-11,Queens Wharf Light Rail,Concession,308
2020-11,Queens Wharf Light Rail,Day Pass without SAF,2
2020-11,Queens Wharf Light Rail,Employee,55
2020-11,Queens Wharf Light Rail,Free Travel,63
2020-11,Queens Wharf Light Rail,School Student,371
2020-11,Queens Wharf Light Rail,Senior/Pensioner,2748
2020-11,Queens Wharf Light Rail,Sgl Trip LR Adult,18
2020-11,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,13
2020-12,Civic Light Rail,Adult,3459
2020-12,Civic Light Rail,CTP,2211
2020-12,Civic Light Rail,Child/Youth,458
2020-12,Civic Light Rail,Concession,345
2020-12,Civic Light Rail,Day Pass without SAF,1
2020-12,Civic Light Rail,Employee,40
2020-12,Civic Light Rail,Free Travel,28
2020-12,Civic Light Rail,School Student,63
2020-12,Civic Light Rail,Senior/Pensioner,1552
2020-12,Civic Light Rail,Sgl Trip LR Adult,37
2020-12,Civic Light Rail,Sgl Trip LR Child/Youth,16
2020-12,Crown Street Light Rail,Adult,1484
2020-12,Crown Street Light Rail,CTP,1264
2020-12,Crown Street Light Rail,Child/Youth,228
2020-12,Crown Street Light Rail,Concession,182
2020-12,Crown Street Light Rail,Employee,28
2020-12,Crown Street Light Rail,Free Travel,12
2020-12,Crown Street Light Rail,School Student,18
2020-12,Crown Street Light Rail,Senior/Pensioner,941
2020-12,Crown Street Light Rail,Sgl Trip LR Adult,15
2020-12,Crown Street Light Rail,Sgl Trip LR Child/Youth,6
2020-12,Honeysuckle Light Rail,Adult,2679
2020-12,Honeysuckle Light Rail,CTP,2049
2020-12,Honeysuckle Light Rail,Child/Youth,612
2020-12,Honeysuckle Light Rail,Concession,320
2020-12,Honeysuckle Light Rail,Employee,64
2020-12,Honeysuckle Light Rail,Free Travel,27
2020-12,Honeysuckle Light Rail,School Student,148
2020-12,Honeysuckle Light Rail,Senior/Pensioner,1964
2020-12,Honeysuckle Light Rail,Sgl Trip LR Adult,17
2020-12,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,14
2020-12,Newcastle Beach Light Rail,Adult,3054
2020-12,Newcastle Beach Light Rail,CTP,2601
2020-12,Newcastle Beach Light Rail,Child/Youth,805
2020-12,Newcastle Beach Light Rail,Concession,322
2020-12,Newcastle Beach Light Rail,Employee,38
2020-12,Newcastle Beach Light Rail,Free Travel,20
2020-12,Newcastle Beach Light Rail,School Student,85
2020-12,Newcastle Beach Light Rail,Senior/Pensioner,2394
2020-12,Newcastle Beach Light Rail,Sgl Trip LR Adult,34
2020-12,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,25
2020-12,Newcastle Interchange Light Rail,Adult,7916
2020-12,Newcastle Interchange Light Rail,CTP,4890
2020-12,Newcastle Interchange Light Rail,Child/Youth,1194
2020-12,Newcastle Interchange Light Rail,Concession,832
2020-12,Newcastle Interchange Light Rail,Day Pass without SAF,3
2020-12,Newcastle Interchange Light Rail,Employee,133
2020-12,Newcastle Interchange Light Rail,Free Travel,71
2020-12,Newcastle Interchange Light Rail,School Student,204
2020-12,Newcastle Interchange Light Rail,Senior/Pensioner,4374
2020-12,Newcastle Interchange Light Rail,Sgl Trip LR Adult,121
2020-12,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,52
2020-12,Queens Wharf Light Rail,Adult,3237
2020-12,Queens Wharf Light Rail,CTP,2422
2020-12,Queens Wharf Light Rail,Child/Youth,673
2020-12,Queens Wharf Light Rail,Concession,286
2020-12,Queens Wharf Light Rail,Day Pass without SAF,1
2020-12,Queens Wharf Light Rail,Employee,62
2020-12,Queens Wharf Light Rail,Free Travel,59
2020-12,Queens Wharf Light Rail,School Student,222
2020-12,Queens Wharf Light Rail,Senior/Pensioner,2617
2020-12,Queens Wharf Light Rail,Sgl Trip LR Adult,39
2020-12,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,24
2021-01,Civic Light Rail,Adult,3352
2021-01,Civic Light Rail,CTP,2433
2021-01,Civic Light Rail,Child/Youth,850
2021-01,Civic Light Rail,Concession,425
2021-01,Civic Light Rail,Day Pass without SAF,4
2021-01,Civic Light Rail,Employee,45
2021-01,Civic Light Rail,Free Travel,21
2021-01,Civic Light Rail,School Student,2
2021-01,Civic Light Rail,Senior/Pensioner,1511
2021-01,Civic Light Rail,Sgl Trip LR Adult,36
2021-01,Civic Light Rail,Sgl Trip LR Child/Youth,41
2021-01,Crown Street Light Rail,Adult,1535
2021-01,Crown Street Light Rail,CTP,1449
2021-01,Crown Street Light Rail,Child/Youth,395
2021-01,Crown Street Light Rail,Concession,161
2021-01,Crown Street Light Rail,Employee,39
2021-01,Crown Street Light Rail,Free Travel,5
2021-01,Crown Street Light Rail,Senior/Pensioner,885
2021-01,Crown Street Light Rail,Sgl Trip LR Adult,15
2021-01,Crown Street Light Rail,Sgl Trip LR Child/Youth,23
2021-01,Honeysuckle Light Rail,Adult,2639
2021-01,Honeysuckle Light Rail,CTP,2139
2021-01,Honeysuckle Light Rail,Child/Youth,1093
2021-01,Honeysuckle Light Rail,Concession,237
2021-01,Honeysuckle Light Rail,Day Pass without SAF,3
2021-01,Honeysuckle Light Rail,Employee,80
2021-01,Honeysuckle Light Rail,Free Travel,31
2021-01,Honeysuckle Light Rail,School Student,10
2021-01,Honeysuckle Light Rail,Senior/Pensioner,1880
2021-01,Honeysuckle Light Rail,Sgl Trip LR Adult,21
2021-01,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,28
2021-01,Newcastle Beach Light Rail,Adult,3748
2021-01,Newcastle Beach Light Rail,CTP,3265
2021-01,Newcastle Beach Light Rail,Child/Youth,1817
2021-01,Newcastle Beach Light Rail,Concession,403
2021-01,Newcastle Beach Light Rail,Day Pass without SAF,3
2021-01,Newcastle Beach Light Rail,Employee,64
2021-01,Newcastle Beach Light Rail,Free Travel,15
2021-01,Newcastle Beach Light Rail,School Student,4
2021-01,Newcastle Beach Light Rail,Senior/Pensioner,2719
2021-01,Newcastle Beach Light Rail,Sgl Trip LR Adult,57
2021-01,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,73
2021-01,Newcastle Interchange Light Rail,Adult,7555
2021-01,Newcastle Interchange Light Rail,CTP,5073
2021-01,Newcastle Interchange Light Rail,Child/Youth,2392
2021-01,Newcastle Interchange Light Rail,Concession,858
2021-01,Newcastle Interchange Light Rail,Day Pass without SAF,3
2021-01,Newcastle Interchange Light Rail,Employee,128
2021-01,Newcastle Interchange Light Rail,Free Travel,56
2021-01,Newcastle Interchange Light Rail,School Student,11
2021-01,Newcastle Interchange Light Rail,Senior/Pensioner,4396
2021-01,Newcastle Interchange Light Rail,Sgl Trip LR Adult,117
2021-01,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,121
2021-01,Queens Wharf Light Rail,Adult,3232
2021-01,Queens Wharf Light Rail,CTP,2426
2021-01,Queens Wharf Light Rail,Child/Youth,1184
2021-01,Queens Wharf Light Rail,Concession,277
2021-01,Queens Wharf Light Rail,Day Pass without SAF,4
2021-01,Queens Wharf Light Rail,Employee,63
2021-01,Queens Wharf Light Rail,Free Travel,61
2021-01,Queens Wharf Light Rail,School Student,14
2021-01,Queens Wharf Light Rail,Senior/Pensioner,2633
2021-01,Queens Wharf Light Rail,Sgl Trip LR Adult,15
2021-01,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,21
2021-02,Civic Light Rail,Adult,4366
2021-02,Civic Light Rail,CTP,3032
2021-02,Civic Light Rail,Child/Youth,428
2021-02,Civic Light Rail,Concession,858
2021-02,Civic Light Rail,Day Pass without SAF,1
2021-02,Civic Light Rail,Employee,56
2021-02,Civic Light Rail,Free Travel,34
2021-02,Civic Light Rail,School Student,121
2021-02,Civic Light Rail,Senior/Pensioner,2155
2021-02,Civic Light Rail,Sgl Trip LR Adult,9
2021-02,Civic Light Rail,Sgl Trip LR Child/Youth,2
2021-02,Crown Street Light Rail,Adult,1446
2021-02,Crown Street Light Rail,CTP,1375
2021-02,Crown Street Light Rail,Child/Youth,115
2021-02,Crown Street Light Rail,Concession,228
2021-02,Crown Street Light Rail,Day Pass without SAF,1
2021-02,Crown Street Light Rail,Employee,25
2021-02,Crown Street Light Rail,Free Travel,19
2021-02,Crown Street Light Rail,School Student,15
2021-02,Crown Street Light Rail,Senior/Pensioner,1000
2021-02,Crown Street Light Rail,Sgl Trip LR Adult,7
2021-02,Crown Street Light Rail,Sgl Trip LR Child/Youth,5
2021-02,Honeysuckle Light Rail,Adult,2587
2021-02,Honeysuckle Light Rail,CTP,2079
2021-02,Honeysuckle Light Rail,Child/Youth,379
2021-02,Honeysuckle Light Rail,Concession,494
2021-02,Honeysuckle Light Rail,Day Pass without SAF,5
2021-02,Honeysuckle Light Rail,Employee,65
2021-02,Honeysuckle Light Rail,Free Travel,47
2021-02,Honeysuckle Light Rail,School Student,384
2021-02,Honeysuckle Light Rail,Senior/Pensioner,2077
2021-02,Honeysuckle Light Rail,Sgl Trip LR Adult,3
2021-02,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,4
2021-02,Newcastle Beach Light Rail,Adult,2721
2021-02,Newcastle Beach Light Rail,CTP,2474
2021-02,Newcastle Beach Light Rail,Child/Youth,459
2021-02,Newcastle Beach Light Rail,Concession,366
2021-02,Newcastle Beach Light Rail,Day Pass without SAF,2
2021-02,Newcastle Beach Light Rail,Employee,42
2021-02,Newcastle Beach Light Rail,Free Travel,32
2021-02,Newcastle Beach Light Rail,School Student,154
2021-02,Newcastle Beach Light Rail,Senior/Pensioner,2572
