Year_Month,Location,Card_type,Trip
2019-03,Newcastle Beach Light Rail,Sgl Trip LR Child/Youth,185
2019-03,Newcastle Interchange Light Rail,Adult,23718
2019-03,Newcastle Interchange Light Rail,CTP,1576
2019-03,Newcastle Interchange Light Rail,Child/Youth,2403
2019-03,Newcastle Interchange Light Rail,Concession,3853
2019-03,Newcastle Interchange Light Rail,Day Pass Child/Youth w/o SAF,1
2019-03,Newcastle Interchange Light Rail,Day Pass without SAF,3
2019-03,Newcastle Interchange Light Rail,Employee,175
2019-03,Newcastle Interchange Light Rail,Free Travel,166
2019-03,Newcastle Interchange Light Rail,School Student,245
2019-03,Newcastle Interchange Light Rail,Senior/Pensioner,10217
2019-03,Newcastle Interchange Light Rail,Sgl Trip LR Adult,556
2019-03,Newcastle Interchange Light Rail,Sgl Trip LR Child/Youth,275
2019-03,Queens Wharf Light Rail,Adult,7649
2019-03,Queens Wharf Light Rail,CTP,694
2019-03,Queens Wharf Light Rail,Child/Youth,951
2019-03,Queens Wharf Light Rail,Concession,652
2019-03,Queens Wharf Light Rail,Day Pass without SAF,1
2019-03,Queens Wharf Light Rail,Employee,51
2019-03,Queens Wharf Light Rail,Free Travel,147
2019-03,Queens Wharf Light Rail,School Student,506
2019-03,Queens Wharf Light Rail,Senior/Pensioner,5083
2019-03,Queens Wharf Light Rail,Sgl Trip LR Adult,198
2019-03,Queens Wharf Light Rail,Sgl Trip LR Child/Youth,90
2019-04,Civic Light Rail,Adult,9136
2019-04,Civic Light Rail,CTP,863
2019-04,Civic Light Rail,Child/Youth,1240
2019-04,Civic Light Rail,Concession,2121
2019-04,Civic Light Rail,Day Pass without SAF,1
2019-04,Civic Light Rail,Employee,24
2019-04,Civic Light Rail,Free Travel,66
2019-04,Civic Light Rail,School Student,34
2019-04,Civic Light Rail,Senior/Pensioner,2838
2019-04,Civic Light Rail,Sgl Trip LR Adult,161
2019-04,Civic Light Rail,Sgl Trip LR Child/Youth,91
2019-04,Crown Street Light Rail,Adult,3926
2019-04,Crown Street Light Rail,CTP,519
2019-04,Crown Street Light Rail,Child/Youth,574
2019-04,Crown Street Light Rail,Concession,289
2019-04,Crown Street Light Rail,Day Pass without SAF,1
2019-04,Crown Street Light Rail,Employee,64
2019-04,Crown Street Light Rail,Free Travel,31
2019-04,Crown Street Light Rail,School Student,11
2019-04,Crown Street Light Rail,Senior/Pensioner,1579
2019-04,Crown Street Light Rail,Sgl Trip LR Adult,94
2019-04,Crown Street Light Rail,Sgl Trip LR Child/Youth,61
2019-04,Honeysuckle Light Rail,Adult,6157
2019-04,Honeysuckle Light Rail,CTP,695
2019-04,Honeysuckle Light Rail,Child/Youth,869
2019-04,Honeysuckle Light Rail,Concession,495
2019-04,Honeysuckle Light Rail,Employee,33
2019-04,Honeysuckle Light Rail,Free Travel,64
2019-04,Honeysuckle Light Rail,School Student,170
2019-04,Honeysuckle Light Rail,Senior/Pensioner,2325
2019-04,Honeysuckle Light Rail,Sgl Trip LR Adult,116
2019-04,Honeysuckle Light Rail,Sgl Trip LR Child/Youth,63
2019-04,Newcastle Beach Light Rail,Adult,8939
