from_stop,to_stop,from_name,to_name,from_modes,to_modes,straight_distance_m,walk_distance_m,walk_time_s,is_sheltered,requires_road_crossing,signalised_crossing_delay_s,total_transfer_time_s,in_interchange_group,source
nisc001:2305112,sydneytrains:2289331,Mackie Ave at St James Rd,Adamstown Station Platform 1,other,heavy_rail,224.9,281.1,224.9,0,1,22,246.9,0,modelled
nisc001:2305112,sydneytrains:2289332,Mackie Ave at St James Rd,Adamstown Station Platform 2,other,heavy_rail,214.5,268.1,214.5,0,1,22,236.5,0,modelled
nisc001:2305113,nisc001:2305117,Mackie Ave at Warren Ave,Mackie Ave opp Warren Ave,other,other,17.5,21.8,17.5,0,0,0,17.5,0,modelled
nisc001:2305114,nisc001:2305115,Sketchley Pde at Meadow Rd,Sketchley Pde after Lille St,other,other,149.3,186.6,149.3,0,1,22,171.3,0,modelled
nisc001:2305114,nisc001:2305116,Sketchley Pde at Meadow Rd,Sketchley Pde at Jellicoe Pde,other,other,53.8,67.3,53.8,0,0,0,53.8,0,modelled
nisc001:2305115,nisc001:230517,Sketchley Pde after Lille St,Bridges Rd at Sketchley Pde,other,other,95.2,119.0,95.2,0,1,22,117.2,0,modelled
nisc001:2305115,nisc001:2305140,Sketchley Pde after Lille St,Bridges Rd opp Sketchley Pde,other,other,124.2,155.2,124.2,0,1,22,146.2,0,modelled
nisc001:2305118,nisc001:2305122,Mackie Ave at St James Rd,"New Lambton South Public School, Fairfield Ave",other,other,100.8,126.0,100.8,0,1,22,122.8,0,modelled
nisc001:2305118,nisc001:2305176,Mackie Ave at St James Rd,Fairfield Ave opp New Lambton South Public School,other,other,142.1,177.7,142.1,0,1,22,164.1,0,modelled
nisc001:2305118,sydneytrains:2289331,Mackie Ave at St James Rd,Adamstown Station Platform 1,other,heavy_rail,207.4,259.3,207.4,0,1,22,229.4,0,modelled
nisc001:2305118,sydneytrains:2289332,Mackie Ave at St James Rd,Adamstown Station Platform 2,other,heavy_rail,197.0,246.2,197.0,0,1,22,219.0,0,modelled
nisc001:2305119,nisc001:2305147,Kookaburra Cct at Byrne Hall Dr,Kookaburra Cct opp Byrne Hall Dr,other,other,44.5,55.6,44.5,0,0,0,44.5,0,modelled
nisc001:2305120,nisc001:2305121,Fairfield Ave opp Moonbi St,Fairfield Ave at Moonbi St,other,other,18.4,23.0,18.4,0,0,0,18.4,0,modelled
nisc001:2305120,sydneytrains:2289331,Fairfield Ave opp Moonbi St,Adamstown Station Platform 1,other,heavy_rail,374.8,468.4,374.8,0,1,22,396.8,0,modelled
nisc001:2305120,sydneytrains:2289332,Fairfield Ave opp Moonbi St,Adamstown Station Platform 2,other,heavy_rail,369.5,461.9,369.5,0,1,22,391.5,0,modelled
nisc001:2305121,sydneytrains:2289331,Fairfield Ave at Moonbi St,Adamstown Station Platform 1,other,heavy_rail,389.1,486.3,389.1,0,1,22,411.1,0,modelled
nisc001:2305121,sydneytrains:2289332,Fairfield Ave at Moonbi St,Adamstown Station Platform 2,other,heavy_rail,383.5,479.4,383.5,0,1,22,405.5,0,modelled
nisc001:2305122,nisc001:2305123,"New Lambton South Public School, Fairfield Ave","New Lambton South Public School, St James Rd",other,other,131.4,164.3,131.4,0,1,22,153.4,0,modelled
nisc001:2305122,nisc001:2305176,"New Lambton South Public School, Fairfield Ave",Fairfield Ave opp New Lambton South Public School,other,other,56.5,70.6,56.5,0,0,0,56.5,0,modelled
nisc001:2305122,sydneytrains:2289331,"New Lambton South Public School, Fairfield Ave",Adamstown Station Platform 1,other,heavy_rail,268.0,335.1,268.0,0,1,22,290.0,0,modelled
nisc001:2305122,sydneytrains:2289332,"New Lambton South Public School, Fairfield Ave",Adamstown Station Platform 2,other,heavy_rail,258.3,322.9,258.3,0,1,22,280.3,0,modelled
nisc001:2305123,sydneytrains:2289331,"New Lambton South Public School, St James Rd",Adamstown Station Platform 1,other,heavy_rail,397.4,496.7,397.4,0,1,22,419.4,0,modelled
nisc001:2305123,sydneytrains:2289332,"New Lambton South Public School, St James Rd",Adamstown Station Platform 2,other,heavy_rail,387.4,484.2,387.4,0,1,22,409.4,0,modelled
nisc001:2305127,nisc001:2305177,Bridges Rd at Queens Rd,St James Rd after Bridges Rd,other,other,149.7,187.2,149.7,0,1,22,171.7,0,modelled
nisc001:2305129,nisc001:2305177,Royal St at St James Rd,St James Rd after Bridges Rd,other,other,135.2,169.0,135.2,0,1,22,157.2,0,modelled
nisc001:2305131,nisc001:2305132,Portland Pl at Regent St,Portland Pl at Evescourt Rd,other,other,130.1,162.6,130.1,0,1,22,152.1,0,modelled
nisc001:2305132,nisc001:230594,Portland Pl at Evescourt Rd,Evescourt Rd at Portland Pl,other,other,26.9,33.6,26.9,0,0,0,26.9,0,modelled
nisc001:2305133,nisc001:230593,Evescourt Rd at St James Rd,Evescourt Rd at St James Rd,other,other,58.8,73.5,58.8,0,0,0,58.8,0,modelled
nisc001:2305134,nisc001:230592,Evescourt Rd at Queens Rd,Queens Rd at Evescourt Rd,other,other,29.6,37.0,29.6,0,0,0,29.6,0,modelled
nisc001:2305135,nisc001:230591,Queens Rd at Orchardtown Rd,Queens Rd at High St,other,other,39.0,48.7,39.0,0,0,0,39.0,0,modelled
nisc001:2305136,nisc001:230590,Orchardtown Rd at Jean St,Orchardtown Rd at Jean St,other,other,43.9,54.9,43.9,0,0,0,43.9,0,modelled
nisc001:2305137,nisc001:230589,Orchardtown Rd at Freyberg St,Orchardtown Rd opp Myra St,other,other,63.6,79.6,63.6,0,1,22,85.6,0,modelled
nisc001:2305138,nisc001:230586,Carnley Ave after Orchardtown Rd,Carnley Ave before Orchardtown Rd,other,other,59.2,74.0,59.2,0,0,0,59.2,0,modelled
nisc001:2305138,nisc001:230589,Carnley Ave after Orchardtown Rd,Orchardtown Rd opp Myra St,other,other,144.1,180.1,144.1,0,1,22,166.1,0,modelled
nisc001:2305139,nisc001:230585,Carnley Ave at Birdwood St,Carnley Ave at Birdwood St,other,other,27.7,34.6,27.7,0,0,0,27.7,0,modelled
nisc001:2305140,nisc001:230517,Bridges Rd opp Sketchley Pde,Bridges Rd at Sketchley Pde,other,other,68.7,85.9,68.7,0,1,22,90.7,0,modelled
nisc001:2305144,nisc001:230565,Lookout Rd after Curson Rd,Russell Rd after Croudace St,other,other,140.3,175.4,140.3,0,1,22,162.3,0,modelled
nisc001:2305148,nisc001:2305171,Lookout Rd opp McCaffrey Dr,Lookout Rd after McCaffrey Dr,other,other,84.1,105.1,84.1,0,1,22,106.1,0,modelled
nisc001:2305151,nisc001:2305152,Lookout Rd opp Grandview Rd,Grandview Rd after Lookout Rd,other,other,137.0,171.3,137.0,0,1,22,159.0,0,modelled
nisc001:2305151,nisc001:2305166,Lookout Rd opp Grandview Rd,Grandview Rd before Lookout Rd,other,other,109.9,137.4,109.9,0,1,22,131.9,0,modelled
nisc001:2305151,nisc001:2305169,Lookout Rd opp Grandview Rd,Lookout Rd at Grandview Rd,other,other,130.4,163.0,130.4,0,1,22,152.4,0,modelled
nisc001:2305152,nisc001:2305166,Grandview Rd after Lookout Rd,Grandview Rd before Lookout Rd,other,other,27.3,34.1,27.3,0,0,0,27.3,0,modelled
