stop_id,stop_name,stop_lat,stop_lon,modes_served,n_routes,location_type,parent_station,platform_geom,shelter,seating,real_time_info,step_free,platform_height_mm,interchange_group_id,attribute_source
nisc001:228070,"Belmont Christian College, John Fisher Rd",-33.02536,151.670986,other,1,,,,-1,-1,-1,-1,0,,assumed
nisc001:228071,Wommara Ave after Pacific Hwy,-33.021633,151.667434,other,20,,,,-1,-1,-1,-1,0,,assumed
nisc001:228072,Wommara Ave opp Master St,-33.021903,151.672494,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228073,Wommara Ave after Master St,-33.021432,151.676505,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228074,Wommara Ave before Warrior St,-33.019769,151.683507,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228075,"Holy Family Anglican Church, Ntaba Rd",-33.016989,151.685152,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228076,Ntaba Rd opp Holy Family Anglican Church,-33.016871,151.68532,other,7,,,,-1,-1,-1,-1,0,,assumed
nisc001:228077,"Jewells Primary School, Fencott Dr",-33.016281,151.688024,other,1,,,,-1,-1,-1,-1,0,,assumed
nisc001:228078,Wommara Ave at Railway Cres,-33.019376,151.684612,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228079,Railway Cres before Kalaroo Rd,-33.01997,151.685586,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228080,Ntaba Rd after Fencott Dr,-33.008379,151.684971,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228081,Ntaba Rd opp Gilsmere St,-33.010268,151.684124,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228082,"Jewells Plaza, Ntaba Rd",-33.012823,151.683854,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228083,Ntaba Rd before Lepton Pde,-33.0147,151.683828,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228084,"Holy Family Anglican Church, Harrison St",-33.016915,151.684309,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228085,Harrison St after Cooinda Cl,-33.01766,151.682616,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228086,Harrison St after Palamuna Cl,-33.017351,151.680306,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228087,Harrison St before Arlington St,-33.016089,151.677917,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228088,Harrison St at Somerset St,-33.01451,151.676084,other,4,,,,-1,-1,-1,-1,0,,assumed
nisc001:228091,Old Belmont Rd before Harlo St,-33.014308,151.674527,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228092,Old Belmont Rd at Arlington St,-33.015216,151.672926,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228093,Old Belmont Rd at Bangalla St,-33.017332,151.671823,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228094,"Belmont North Public School, Old Belmont Rd",-33.019243,151.67036,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228095,Old Belmont Rd opp Belmont Neighbourhood Centre,-33.020352,151.669249,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228096,"Belmont Neighbourhood Centre, Old Belmont Rd",-33.020264,151.668928,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228097,Old Belmont Rd opp Belmont North Public School,-33.019173,151.670158,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228098,Old Belmont Rd opp Bangalla St,-33.017133,151.671708,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228099,Old Belmont Rd after Leicester Ave,-33.015656,151.672269,other,5,,,,-1,-1,-1,-1,0,,assumed
nisc001:228118,"Swansea Library, Pacific Hwy",-33.091221,151.637807,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228119,Pacific Hwy after Lake Rd,-33.088959,151.638278,other,12,,,,-1,-1,-1,-1,0,,assumed
nisc001:228120,Pacific Hwy opp Peel St,-33.087671,151.638545,other,11,,,,-1,-1,-1,-1,0,,assumed
nisc001:228121,Pacific Hwy after Little Pelican,-33.082601,151.645409,other,11,,,,-1,-1,-1,-1,0,,assumed
nisc001:228122,Pacific Hwy after Turea St,-33.078883,151.650576,other,9,,,,-1,-1,-1,-1,0,,assumed
nisc001:228123,Pacific Hwy opp Pelican Flat Park,-33.076005,151.650727,other,7,,,,-1,-1,-1,-1,0,,assumed
nisc001:228124,Pacific Hwy opp Maneela St,-33.072117,151.650915,other,7,,,,-1,-1,-1,-1,0,,assumed
nisc001:228125,Pacific Hwy at Awabakal Ave,-33.068804,151.651491,other,7,,,,-1,-1,-1,-1,0,,assumed
nisc001:228126,Pacific Hwy at Maneela St,-33.072806,151.651237,other,7,,,,-1,-1,-1,-1,0,,assumed
nisc001:228127,"Pelican Flat Park, Pacific Hwy",-33.076065,151.651028,other,6,,,,-1,-1,-1,-1,0,,assumed
nisc001:228128,Pacific Hwy after Gommera St,-33.080116,151.650424,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228129,Pacific Hwy opp Little Pelican Rd,-33.082958,151.645114,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228130,Bowman St at Peel St,-33.088037,151.639033,other,10,,,,-1,-1,-1,-1,0,,assumed
nisc001:228131,Bowman St opp Lake Rd,-33.09004,151.638611,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228132,Bowman St opp Swansea Library,-33.091834,151.638266,other,8,,,,-1,-1,-1,-1,0,,assumed
nisc001:228142,Pacific Hwy at Soldiers Rd,-33.068214,151.651135,other,11,,,,-1,-1,-1,-1,0,,assumed
nisc001:228143,"Lake Macquarie Airport, Pacific Hwy",-33.065772,151.651312,other,11,,,,-1,-1,-1,-1,0,,assumed
nisc001:228154,Awabakal Ave opp Cudgee St,-33.068545,151.654226,other,2,,,,-1,-1,-1,-1,0,,assumed
nisc001:228155,Ungala Rd opp Mallawa St,-33.070777,151.656292,other,2,,,,-1,-1,-1,-1,0,,assumed
nisc001:228160,Ungala Rd opp Carawa St,-33.074325,151.655724,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228161,Ungala Rd opp Tirriki St,-33.076795,151.655665,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228162,Ungala Rd opp Kolang St,-33.078472,151.655575,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228163,"Swansea Belmont SLSC, Ungala Rd",-33.080008,151.655851,other,2,,,,-1,-1,-1,-1,0,,assumed
nisc001:228164,"Belmont Swansea United Soccer Club, Gommera St",-33.080176,151.653824,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228165,Wood St before Old Pacific Hwy,-33.092601,151.636479,other,1,,,,-1,-1,-1,-1,0,,assumed
nisc001:228166,Gommera St after Pacific Hwy,-33.079877,151.651247,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228167,Gommera St opp Belmont Swansea United Soccer Club,-33.079951,151.653024,other,3,,,,-1,-1,-1,-1,0,,assumed
nisc001:228168,Gommera St after Ungala Rd,-33.080264,151.655323,other,3,,,,-1,-1,-1,-1,0,,assumed
