SA1_CODE_2021,zone_tier,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
10602161528,core,8,12,21,31,19,57,16,14,27,0,0,0,50,36,85,13,11,25,5,5,10,0,0,0,18,16,36,0,0,0,0,0,0,0,0,4,8,3,7,0,0,0,3,10,15,0,8,8,0,5,5,0,0,0,5,6,6,0,0,0,5,14,14,10,21,34,0,0,3,0,0,0,0,0,0,0,8,6,13,3,17,96,99,200
10602161529,core,0,0,0,0,0,0,6,0,6,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,29,16,19,40
10602161530,core,0,5,9,5,4,10,0,0,0,0,0,0,12,7,18,0,3,3,3,5,6,4,0,3,8,8,17,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,3,5,9,0,0,0,6,0,7,6,10,14,0,0,0,0,3,3,0,0,0,0,3,3,0,3,4,30,28,61
10602161531,core,0,0,0,0,4,5,0,3,5,3,0,9,12,4,20,0,0,0,4,0,8,7,9,18,14,6,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12,13,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,37,28,66
10602161532,core,5,15,19,34,31,63,7,12,17,4,3,3,37,41,80,12,11,28,12,5,17,0,0,0,19,18,41,0,4,8,0,0,0,3,6,5,10,7,10,0,0,0,6,12,26,3,0,6,0,5,6,3,3,3,0,4,3,0,0,0,10,17,22,17,30,45,6,0,4,0,0,6,0,0,0,0,3,7,13,3,15,97,107,207
10602161533,core,3,0,6,6,8,13,12,11,19,4,5,11,27,23,43,6,7,18,9,16,23,6,0,5,16,26,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,8,3,0,5,0,3,3,0,0,6,0,0,0,8,10,17,13,10,18,0,0,0,0,0,0,0,0,0,0,0,0,19,15,33,76,76,147
10602161534,core,13,9,24,22,14,38,20,12,35,5,5,4,46,28,76,10,14,26,0,8,11,6,0,3,15,25,40,0,0,0,0,0,0,3,7,6,4,0,7,0,0,0,10,9,15,0,0,0,5,0,3,0,0,0,0,7,5,0,0,0,3,12,18,13,16,30,0,0,0,0,3,5,0,0,0,0,3,5,7,3,9,95,85,182
10602161535,core,0,10,16,11,7,15,6,6,14,0,7,7,18,14,35,5,5,12,5,9,13,0,0,0,8,18,21,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,4,8,8,0,3,3,0,0,4,0,0,0,4,4,0,0,0,0,8,9,9,6,9,22,0,0,0,0,0,0,0,0,0,0,0,4,12,12,17,51,65,113
10602161536,core,3,3,8,14,11,30,6,6,11,0,0,3,21,25,44,8,4,7,8,3,16,0,0,4,17,12,27,3,0,4,0,0,5,0,4,7,0,12,9,0,0,0,9,19,22,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,4,9,13,11,26,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,57,59,120
10602161537,core,5,3,4,8,17,19,0,12,14,0,4,4,12,28,42,13,8,19,4,5,13,0,5,5,20,14,36,0,0,0,0,0,0,7,0,7,0,4,4,0,0,0,5,4,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,6,9,10,18,0,0,0,0,0,0,0,0,0,0,0,0,13,41,60,59,102,151
10602161538,core,4,0,7,12,14,26,0,3,3,0,0,3,17,14,28,8,4,6,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,5,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,4,8,4,4,11,0,0,0,0,0,6,0,0,0,0,0,5,10,8,23,42,43,86
10602161539,core,9,3,10,13,11,21,9,6,15,0,0,0,23,13,36,7,7,16,12,13,20,0,0,0,19,23,39,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,6,7,8,6,0,3,0,0,0,0,0,0,0,3,4,0,0,0,7,3,14,10,10,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,64,48,113
