SA1_CODE_2021,zone_tier,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
11103122814,core,0,6,5,0,8,3,6,0,0,16,0,9,12,0,5,9,4,0,0,35,0,5,6,4,8,10,3,0,0,39,0,0,9,5,3,3,5,0,0,28,0,0,16,10,7,4,4,0,0,35,0,0,14,10,5,5,5,0,0,32,0,0,13,12,8,4,6,0,0,41,0,0,0,0,10,5,0,0,0,8,0,0,0,12,8,4,0,0,0,34,0,0,0,5,5,4,0,0,0,10,21,41,80,67,74,57,54,15,5,402
11103122815,core,0,12,6,0,6,3,4,0,0,23,0,7,12,0,9,0,0,0,0,36,3,4,10,4,8,3,6,0,0,29,0,8,11,10,3,0,0,0,0,24,0,0,7,4,4,4,0,0,0,16,0,0,4,4,9,0,0,0,0,18,0,0,16,4,10,6,3,0,0,39,0,0,0,3,0,0,0,0,0,4,0,0,0,4,3,0,5,0,0,7,0,0,5,0,0,0,4,0,0,13,17,38,77,37,49,33,23,9,0,282
11103122816,core,0,4,0,0,3,7,5,0,0,18,0,0,4,9,0,6,0,0,0,20,0,8,8,0,0,7,0,0,0,22,0,0,13,3,3,5,0,4,0,26,0,0,8,4,0,0,0,0,0,10,0,3,11,3,6,0,0,0,0,17,0,0,5,3,11,4,0,0,0,26,0,0,0,0,5,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,6,3,0,10,10,21,60,36,45,47,25,19,3,274
11103122817,core,0,15,13,3,3,0,5,0,0,47,0,22,13,4,0,7,4,0,0,56,0,10,21,7,10,3,5,0,0,66,0,9,23,6,9,9,0,0,0,53,0,0,6,8,5,6,0,0,0,27,0,0,19,13,4,0,0,0,0,41,0,0,20,16,8,3,4,0,0,47,0,0,4,0,7,5,0,0,0,16,0,0,4,8,5,0,0,0,0,18,8,4,3,0,6,3,7,0,0,30,35,94,143,82,72,57,44,12,5,551
11103122818,core,4,5,0,3,6,3,4,0,3,28,0,11,14,4,4,9,3,0,0,43,0,0,7,10,10,11,3,0,0,41,0,0,9,15,9,0,0,0,0,31,0,0,9,9,15,7,0,0,0,39,0,0,11,7,9,7,0,0,0,31,0,0,8,29,25,6,0,0,0,63,0,0,3,6,3,0,0,0,0,16,0,0,0,16,7,4,0,0,0,28,0,0,3,0,0,0,0,5,0,10,37,44,64,117,94,60,42,23,12,484
11103122819,core,0,3,6,0,0,0,3,4,0,20,0,3,5,0,0,5,0,0,0,13,0,6,6,3,3,0,3,0,0,28,0,0,3,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,12,0,0,0,4,0,4,0,0,0,14,0,0,6,8,11,5,0,0,0,28,0,0,0,5,0,0,0,0,0,4,0,0,0,7,9,5,0,0,0,25,0,0,0,5,4,0,0,0,0,8,24,26,34,41,51,35,25,12,0,251
11103122820,core,3,6,3,4,7,9,3,3,0,38,0,3,8,3,6,4,9,3,0,41,0,0,9,5,9,10,7,0,0,44,0,0,0,4,4,0,7,3,0,26,0,0,4,4,3,6,0,0,0,24,0,0,3,0,7,5,6,3,0,23,0,0,0,11,20,14,0,0,0,53,0,0,0,0,0,3,3,0,0,16,0,0,0,7,16,7,0,3,0,36,0,0,5,0,4,0,0,0,0,12,39,28,38,52,82,73,59,30,7,421
11103122821,core,0,0,4,0,4,3,0,3,0,20,0,3,8,3,7,4,0,8,0,26,0,0,4,5,8,8,6,4,0,25,0,0,0,0,4,7,0,0,0,16,0,0,7,6,9,4,3,0,0,30,0,0,5,3,6,6,0,4,0,21,0,0,6,14,17,3,0,0,0,46,0,0,0,5,5,0,0,0,0,13,0,0,5,13,5,9,0,0,0,29,0,0,0,0,5,0,0,0,3,13,27,19,45,61,63,52,33,36,9,341
11103122822,core,0,5,0,0,0,8,3,4,0,23,0,6,4,5,12,7,5,0,0,36,0,5,14,9,5,9,0,0,0,40,0,5,3,4,7,7,0,0,0,21,0,0,11,8,5,0,5,0,0,22,0,0,3,0,0,3,0,0,0,13,0,0,0,5,3,0,0,0,0,17,0,0,4,3,0,0,0,0,0,7,0,0,4,10,4,4,0,0,0,14,0,0,0,0,3,0,0,0,0,6,24,47,57,49,47,44,34,15,7,330
11103122823,core,0,0,11,3,0,8,0,0,0,20,0,0,8,0,0,0,0,0,0,15,0,3,15,9,0,3,5,0,0,30,0,0,13,0,0,0,0,0,0,19,0,0,13,0,3,0,0,0,0,18,0,0,12,0,0,0,0,0,0,17,0,0,14,9,7,8,0,0,0,33,0,3,0,0,0,4,0,0,0,13,0,0,3,0,0,0,0,0,0,8,0,0,3,3,0,0,0,0,0,4,8,29,100,34,28,30,21,6,5,257
11103122824,core,0,6,0,0,0,4,0,0,0,16,0,5,5,0,7,0,4,0,0,14,0,6,11,4,3,3,0,0,0,23,0,5,10,3,6,4,0,0,0,19,0,4,7,5,3,0,5,0,0,22,0,0,9,5,0,0,0,0,0,12,0,0,14,10,6,6,0,3,0,35,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,8,13,32,64,34,31,30,26,13,13,253
