POW_SA2_CODE_2021,zone_tier,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
106031124,external,0,0,0,8,11,22,4,0,4,0,0,0,0,0,0,0,0,0,14,10,27,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,5,0,5,15,15,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,20,18,37,0,0,0,0,0,0,0,0,0,4,0,4,4,0,6,9,0,9,5,0,8,28,0,36,0,0,3,52,5,57,85,12,99,0,0,0,11,4,15,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,13,3,22,0,0,0,0,0,0,3,3,4,28,59,92,14,32,52,0,0,0,53,101,152,0,0,0,22,26,48,73,72,149,91,102,195,0,4,4,3,0,8,3,0,3,0,0,0,0,0,0,0,0
106031125,core,0,0,0,29,20,54,32,8,42,5,0,5,3,0,3,8,3,8,71,37,106,8,6,13,6,0,6,0,0,0,19,4,28,41,6,48,0,0,0,76,18,95,12,6,18,9,16,27,0,0,0,0,4,7,13,0,16,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,4,9,0,9,384,70,456,9,0,7,3,0,3,446,97,540,0,0,0,11,0,14,0,0,0,5,0,5,3,0,4,20,0,23,12,0,10,62,12,69,19,14,35,261,39,301,357,65,420,0,0,0,12,3,10,6,0,7,0,0,0,0,5,8,0,0,0,0,0,0,19,14,28,0,5,5,0,0,0,13,17,35,75,135,204,23,52,76,0,0,0,120,207,322,0,0,0,21,35,59,158,191,344,177,225,401,3,0,3,64,15,78,0,0,0,0,0,0,60,22,86,5,0
106041126,external,0,0,0,38,34,76,0,0,0,0,0,0,0,0,0,5,0,9,50,35,83,76,16,90,1919,429,2343,0,0,0,10,0,8,11,0,11,53,5,53,2073,444,2513,31,7,34,3,15,19,0,0,0,0,0,0,0,0,6,0,0,0,4,9,13,0,0,0,18,6,28,8,0,9,6,0,8,30,0,32,20,0,15,5,0,5,16,0,15,6,0,6,149,47,199,0,0,0,650,107,760,3,0,3,23,7,27,13,0,14,689,123,814,32,6,40,34,9,38,145,33,177,261,32,293,469,74,541,0,3,6,38,12,50,146,28,177,20,0,26,3,0,3,0,0,0,0,0,0,213,50,263,3,10,11,62,19,75,13,20,37,66,153,221,57,165,220,0,0,0,204,362,561,0,0,0,8,53,60,153,241,398,164,293,457,13,3,14,53,16,71,16,8,23,0,0,0,0,0,0,0,0
106041127,external,0,0,4,260,185,443,0,0,0,0,0,0,0,0,0,8,3,12,272,193,461,8,0,11,794,122,915,0,0,0,3,0,3,9,0,9,14,6,17,827,126,955,0,0,3,10,0,6,4,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,15,0,0,0,0,0,0,0,0,0,0,0,0,20,14,35,0,0,0,0,0,0,43,34,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,3,11,6,13,48,9,58,61,20,82,0,0,0,11,4,14,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,19,0,18,0,0,0,0,0,0,3,3,9,3,12,20,3,23,20,0,0,0,14,40,54,0,0,0,9,16,24,10,38,51,18,53,75,0,0,0,24,3,28,0,0,0,0,0,4,0,0,0,0,0
106041128,external,3,0,4,73,86,156,0,0,0,0,0,0,0,0,0,7,4,15,88,88,175,0,0,0,3,0,4,0,0,0,0,0,0,9,0,9,0,0,4,8,6,12,4,0,4,221,118,337,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,17,8,0,5,13,4,17,6,0,6,0,0,0,269,129,393,0,0,0,4,0,4,0,0,0,6,3,10,0,0,0,10,3,20,7,0,7,51,7,53,9,3,17,81,17,100,145,28,171,0,0,0,20,8,32,4,4,7,0,0,0,3,4,6,0,8,6,3,0,3,39,23,56,3,13,13,15,11,26,8,8,15,42,108,153,30,85,116,0,0,0,103,215,319,0,0,0,10,29,34,63,130,188,72,153,225,5,0,12,40,13,50,0,0,0,0,0,0,10,3,13,0,0
106041129,external,3,0,5,613,386,1004,0,0,0,5,3,4,0,0,0,24,3,29,646,393,1042,0,0,0,13,0,14,0,0,0,0,0,0,3,0,3,0,0,0,19,0,17,0,0,0,10,14,17,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,3,5,0,0,17,13,35,0,0,0,3,4,8,0,0,0,4,3,3,0,0,0,5,3,14,5,0,8,26,0,29,11,8,21,72,15,83,115,29,143,0,0,0,5,8,17,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,9,14,21,4,9,11,0,0,0,6,3,9,27,28,55,8,24,39,0,0,0,49,64,108,0,0,0,9,23,37,32,85,116,45,110,152,6,3,9,40,8,49,0,0,0,0,0,0,0,0,4,0,0
111011206,core,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,5,7,5,10,22,7,22,24,3,30,0,0,0,8,0,8,0,0,0,4,4,3,56,8,63,20,0,24,10,17,29,0,0,3,0,0,5,27,6,28,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,0,0,0,27,3,34,111,15,131,20,7,29,17,3,19,19,4,18,257,70,330,3,0,3,18,0,19,6,0,4,0,0,5,5,0,7,28,9,31,16,8,28,176,68,252,63,8,76,510,87,599,773,170,943,0,3,3,6,0,6,21,3,22,3,0,3,3,0,3,0,0,0,0,0,0,32,5,33,15,14,21,29,23,47,15,10,29,172,270,440,314,378,696,0,7,3,546,697,1241,0,0,0,7,11,16,327,416,734,333,424,760,0,0,0,105,16,122,0,0,0,0,0,0,0,0,3,0,0
111011207,core,0,0,0,5,3,3,0,0,0,0,0,0,3,0,3,0,0,0,5,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,5,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,18,0,0,0,0,0,0,26,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,27,0,29,0,0,0,66,9,73,94,10,105,0,0,0,5,6,14,4,0,4,0,0,0,0,0,3,0,0,0,0,0,0,7,8,16,0,0,0,0,0,0,3,3,5,11,6,21,10,20,27,0,0,0,29,31,57,0,0,0,8,12,24,53,65,117,62,76,134,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,0,0
111011208,core,0,0,0,5,3,12,0,0,0,0,0,0,4,0,4,0,4,3,7,6,18,13,4,19,32,9,38,0,0,0,0,0,0,0,0,0,3,0,8,56,8,70,41,11,53,71,50,124,3,0,3,6,21,25,15,6,20,0,0,0,0,4,3,7,0,10,4,0,8,3,0,3,21,0,23,18,0,18,7,5,15,10,6,19,29,0,29,6,0,15,241,111,353,0,0,0,5,6,3,0,0,0,4,4,6,54,6,56,59,13,69,33,3,37,158,34,193,53,11,68,470,72,537,714,124,838,0,0,0,17,5,24,13,3,23,15,5,21,13,14,26,13,12,23,10,5,17,87,41,134,16,13,27,78,37,117,25,17,40,188,245,431,339,896,1235,3,12,22,645,1222,1871,0,0,0,28,42,66,375,470,843,399,515,916,5,3,3,34,15,52,0,0,0,0,0,0,0,0,0,0,0
111011209,core,0,0,0,15,16,25,0,0,0,0,0,0,0,0,0,0,0,0,17,18,35,45,8,52,69,14,86,4,0,3,0,0,0,0,0,0,12,0,15,135,24,159,135,28,160,44,49,92,0,0,3,10,4,11,79,25,97,0,0,0,5,6,15,8,6,15,5,4,10,24,8,29,24,3,26,133,30,157,112,24,132,207,32,243,132,16,143,36,3,41,948,233,1180,0,0,0,14,5,21,9,6,9,12,6,16,11,0,17,47,11,60,57,11,65,203,55,249,81,24,99,677,113,794,1008,203,1215,10,6,14,133,34,166,79,19,97,46,16,65,18,13,33,4,0,7,18,3,24,297,97,393,18,22,42,233,84,321,24,18,43,191,272,457,243,533,777,3,0,7,721,925,1647,0,0,3,14,26,48,314,407,723,335,434,770,14,4,20,196,42,233,15,3,19,0,0,0,4,0,8,3,0
111011210,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,3,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,4,0,7,18,0,20,4,0,4,66,5,70,90,5,94,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,5,0,0,0,0,0,0,123,156,280,40,129,170,0,0,0,169,286,452,0,0,0,0,7,6,66,88,161,71,92,166,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0
111011211,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19,35,6,38,0,0,0,0,0,0,0,0,0,0,0,0,48,5,54,3,3,7,3,7,7,0,0,0,0,0,3,7,4,12,0,0,0,0,0,0,0,0,0,0,0,6,8,6,6,11,0,11,0,0,4,9,0,11,9,4,5,22,5,28,10,3,14,88,35,127,0,0,0,0,0,0,0,0,0,5,0,4,13,0,19,24,0,24,12,0,12,42,4,45,44,7,51,187,32,219,287,44,324,3,0,3,3,0,4,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,10,3,14,0,7,4,0,0,0,0,4,4,7,3,11,4,14,25,0,0,0,18,30,50,0,0,0,0,9,3,26,41,67,21,45,67,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0
111011212,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,3,0,6,8,0,0,0,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,5,0,0,0,5,3,8,8,4,13,0,0,0,23,22,48,0,0,0,0,0,0,0,0,0,9,0,9,4,0,3,9,0,8,6,0,7,51,12,63,18,8,31,186,23,207,268,42,312,0,0,0,0,0,0,7,0,4,0,0,0,0,3,5,6,0,0,0,0,0,13,5,17,4,3,8,0,0,0,3,5,9,95,144,239,21,62,83,0,0,0,129,217,341,0,0,0,12,34,45,136,195,339,149,228,386,0,6,4,11,5,11,0,0,0,0,0,0,0,0,0,0,0
111011213,core,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,3,3,9,9,19,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,6,0,8,5,5,7,25,9,30,4,4,13,96,25,119,127,43,174,0,0,0,0,0,4,3,3,6,0,0,0,0,0,3,0,0,0,0,0,0,11,5,14,4,3,6,0,0,0,5,6,8,13,6,18,15,28,46,0,4,4,36,46,81,0,0,0,0,8,12,24,24,48,22,28,56,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0
111011214,core,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,3,0,4,9,5,16,0,0,5,13,11,19,0,0,0,0,0,0,0,0,0,0,0,0,13,10,25,33,14,41,13,16,37,0,0,0,12,12,19,8,7,12,0,0,0,6,12,15,0,0,0,0,0,0,4,0,4,0,0,0,25,7,33,64,9,67,15,0,17,23,0,23,20,3,28,214,78,296,0,0,0,0,0,0,3,0,3,3,0,4,11,6,15,15,9,21,29,7,36,125,31,154,36,12,42,398,56,454,578,107,683,11,0,9,33,9,47,36,12,52,17,3,18,27,17,37,3,7,7,0,0,0,122,55,179,22,17,41,35,15,48,21,14,31,139,126,264,228,348,576,0,0,0,445,521,966,0,0,0,11,14,23,332,437,773,344,451,794,3,3,8,18,3,24,0,0,0,0,0,0,4,0,4,0,0
111021215,core,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,3,6,0,0,0,0,0,0,7,0,7,0,0,0,12,3,18,6,0,3,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,29,8,0,3,3,0,3,12,6,20,0,0,0,0,0,3,60,19,79,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,7,3,10,9,0,9,44,12,58,43,3,50,129,16,146,228,32,265,0,0,0,11,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,21,0,0,7,0,0,0,6,0,9,18,17,38,8,10,15,4,0,4,34,36,66,0,0,0,3,0,5,12,26,36,18,24,36,4,0,4,29,3,28,0,0,0,0,0,0,0,0,0,0,0
111021216,core,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,16,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,31,10,38,7,0,7,112,28,136,148,38,192,0,0,0,0,0,0,8,0,11,0,0,0,3,0,5,0,0,0,0,0,0,11,6,13,0,0,3,0,0,3,0,0,0,32,49,77,6,22,26,0,0,0,36,78,112,0,0,0,14,16,25,47,42,85,57,58,117,0,0,0,8,3,9,0,0,0,0,0,0,0,0,0,0,0
111021217,core,0,0,0,9,3,6,0,0,0,0,0,0,0,0,0,4,0,5,9,3,12,9,0,14,35,4,37,0,0,0,4,0,4,0,0,0,4,0,4,49,7,59,31,5,30,12,7,21,3,0,5,0,0,0,15,7,22,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,4,13,8,4,10,26,6,30,8,0,7,127,33,161,0,0,3,241,70,313,0,0,0,14,0,14,0,0,0,24,5,29,77,21,103,114,30,141,21,0,26,94,17,107,34,5,41,359,45,401,508,70,571,3,0,4,13,0,17,3,4,3,0,0,0,9,6,15,0,0,0,0,0,0,22,14,44,9,10,10,10,4,15,18,10,31,112,163,274,28,60,88,0,0,0,182,246,426,0,0,0,0,0,0,146,159,302,147,154,303,9,5,13,214,28,243,7,0,7,0,0,0,0,0,0,0,0
111021218,core,0,0,0,51,48,99,0,0,0,3,0,7,0,0,0,6,5,5,65,52,121,15,3,16,751,17,766,0,0,0,4,0,5,14,0,14,20,0,23,803,26,831,37,9,40,48,47,91,0,0,7,0,0,0,18,3,23,0,0,0,8,3,8,0,0,0,23,8,26,5,0,3,15,0,15,17,10,31,38,13,49,20,0,22,13,10,25,10,7,13,246,113,356,0,0,0,311,43,351,0,0,0,4,0,4,30,12,38,345,56,396,71,13,82,161,33,193,116,27,144,541,86,631,888,154,1043,3,0,6,65,14,77,20,5,22,12,5,14,0,0,0,8,14,21,0,5,4,110,40,142,10,7,16,22,4,32,20,32,48,116,174,288,125,190,311,0,3,0,287,409,702,0,0,0,10,13,25,167,213,383,178,231,404,17,4,20,111,29,146,7,3,11,0,0,4,0,0,3,0,0
111021219,core,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,7,10,14,11,0,11,77,24,101,0,0,0,0,6,4,0,0,0,10,4,7,98,33,127,10,7,16,18,18,32,0,0,0,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,11,0,12,6,0,10,10,0,8,5,4,7,17,3,19,8,4,13,4,4,4,101,44,140,0,0,0,4,0,4,0,0,5,0,0,0,15,0,16,18,3,23,22,3,24,95,24,118,46,18,64,234,39,267,390,83,474,0,0,0,18,5,21,0,0,9,0,0,0,0,0,4,0,0,8,3,0,3,23,13,39,0,9,9,17,4,19,7,11,24,127,177,302,36,128,165,0,6,3,192,330,515,0,0,0,12,17,29,198,239,437,206,260,465,12,0,12,113,10,125,3,3,8,0,0,0,0,0,0,0,0
111021220,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,4,19,244,8,251,0,0,0,0,0,0,0,0,0,3,0,3,261,13,277,12,4,17,6,11,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,5,3,10,3,17,4,0,8,5,3,4,25,5,33,0,0,0,83,32,115,3,0,3,9,0,6,0,0,0,0,0,0,0,0,0,8,6,9,8,0,9,22,7,30,0,6,13,101,16,116,138,29,167,0,0,0,3,4,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,9,0,13,0,0,7,0,0,5,3,7,13,27,37,61,7,28,35,0,0,0,42,74,113,0,0,0,4,4,4,44,70,115,45,75,116,3,4,12,11,6,19,3,0,3,0,0,0,0,0,0,0,0
111021221,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,0,6,6,0,0,30,9,39,0,0,0,0,4,4,0,0,0,0,0,0,34,14,48,0,5,10,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,0,11,11,0,7,8,0,8,9,0,7,0,0,0,45,17,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,39,3,43,9,3,18,94,14,115,151,27,178,0,0,0,0,0,0,4,0,4,0,0,6,0,0,0,0,0,0,0,0,0,4,3,9,0,0,0,10,6,12,0,0,3,7,18,21,3,15,22,0,0,0,23,37,59,0,0,0,0,0,0,28,51,85,28,51,85,0,0,0,9,3,13,0,0,0,0,0,0,0,0,0,0,0
111031222,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,5,0,3,15,24,42,4,7,12,0,6,7,4,0,4,0,0,0,0,0,0,0,0,0,4,5,10,0,0,0,7,0,7,8,0,9,3,0,0,9,0,7,3,13,12,10,6,17,64,65,131,0,0,0,0,0,0,0,0,0,3,0,6,3,0,8,7,4,10,7,3,8,96,18,116,10,9,23,251,31,277,363,60,422,3,0,6,14,6,19,49,13,60,16,0,16,43,18,55,14,13,27,0,9,9,130,63,197,12,15,33,45,9,57,7,4,5,173,204,382,484,1253,1738,0,0,0,726,1493,2217,5,3,4,8,25,38,313,455,771,328,490,817,0,0,0,30,4,37,3,0,3,0,0,0,0,0,3,0,0
111031223,core,0,0,0,237,163,396,0,0,0,0,0,0,3,0,3,3,0,7,246,162,405,68,15,84,168,21,184,4,0,4,10,0,7,4,0,0,55,15,71,305,54,355,68,24,90,443,432,874,4,0,7,15,30,46,28,4,33,13,11,22,15,9,27,26,12,38,14,8,25,39,0,42,29,11,39,77,8,84,100,14,112,44,3,50,145,30,174,3,4,6,1058,605,1661,0,0,0,75,9,82,0,0,0,17,0,17,85,22,109,178,34,214,88,19,105,319,56,376,488,108,596,482,70,554,1371,247,1625,12,6,23,68,8,76,218,54,273,82,17,101,44,14,59,24,28,54,17,10,25,465,139,607,27,7,37,124,25,147,19,37,51,23,50,74,58,76,132,0,0,0,249,195,448,0,0,0,0,0,4,115,164,278,115,166,283,27,0,33,337,33,370,34,7,46,0,0,0,3,0,9,0,0
111031224,core,0,0,0,4,4,7,0,0,0,4,0,4,0,0,0,5,0,5,6,4,9,6,0,10,26,6,32,0,0,0,0,0,0,0,0,0,0,0,0,37,8,41,16,10,27,5,10,16,3,0,3,3,16,16,15,0,16,0,0,0,10,4,14,0,0,0,4,0,6,6,0,8,14,0,14,21,0,21,20,5,20,191,22,210,26,11,36,6,3,8,341,81,425,3,0,3,3,3,6,0,0,0,5,3,9,13,0,14,18,12,29,28,8,36,210,43,250,206,36,247,272,51,322,711,135,848,12,0,12,56,15,70,55,18,79,30,7,41,9,7,15,7,8,10,0,0,0,167,58,230,14,19,31,200,52,249,15,11,25,93,86,177,200,257,464,0,0,0,525,427,949,0,0,0,24,50,74,465,474,935,493,518,1010,16,4,24,256,53,312,233,29,258,0,0,0,4,0,4,0,0
111031225,core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,4,20,6,24,15,0,20,0,0,0,0,0,0,0,0,0,8,0,8,37,6,45,35,6,45,7,20,24,0,0,0,0,0,3,7,0,6,0,0,3,11,6,12,0,0,0,5,0,3,8,0,14,6,0,6,37,5,36,19,0,21,9,0,12,40,10,52,16,11,23,194,62,252,0,0,0,9,0,7,0,0,0,4,0,4,3,0,6,10,6,12,16,0,18,106,27,127,25,23,43,215,25,246,363,73,436,4,5,5,54,10,58,22,8,35,6,0,6,0,5,3,8,7,21,0,0,5,100,30,136,4,11,16,3,0,7,16,5,21,106,78,181,96,141,238,0,3,5,228,233,469,0,0,0,27,42,70,302,346,647,328,389,716,0,0,0,28,8,26,18,16,33,0,0,0,0,0,0,0,0
