edge_id,osm_way_id,name,road_class,length_m,corridor_class,is_corridor_trunk,dist_to_alignment_m,oneway_flag,oneway_source,num_lanes_per_dir,num_lanes_source,speed_limit_kmh,speed_limit_source,lane_width_m,lane_width_source,turn_lanes,turn_lanes_source,kerbside_use,kerbside_source,capacity_veh_hr_lane,capacity_source,dist_to_S2c_m,dist_to_S4_m,dist_to_S5_m,dist_to_base2026_m,scenario_variant_ref
w827806695,827806695,Crown Street,residential,57.3,corridor_cross,0,7.0,1,osm,1.0,osm,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,800,imputed_rule,7.0,9.9,9.9,7.0,base2026
w880437946,880437946,Hunter Street,secondary,10.6,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,7.0,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,7.0,4.6,4.6,7.0,base2026
w35972784,35972784,Market Street,service,4.6,corridor_cross,0,7.6,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,7.6,7.1,7.1,7.6,base2026
w847353665,847353665,Scott Street,secondary,3.3,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,7.6,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,7.6,7.1,7.1,7.6,base2026
w880838115,880838115,,service,6.3,corridor_cross,0,7.7,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,7.7,7.9,7.9,7.7,base2026
w880437941,880437941,Darby Street,secondary,8.1,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,7.9,0,imputed_rule,1.5,osm,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,7.9,7.3,7.3,7.9,base2026
w1224930759,1224930759,Newcomen Street,residential,89.9,corridor_cross,0,8.0,1,osm,1.0,imputed_rule,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,800,imputed_rule,8.0,7.6,7.6,8.0,base2026
w880437935,880437935,Hunter Street,secondary,154.1,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,8.0,1,osm,2.0,osm,40.0,osm,3.2,imputed_rule,none|right,osm,unknown,imputed_rule,1400,imputed_rule,8.0,4.4,4.4,8.0,base2026
w880437938,880437938,Hunter Street,secondary,29.1,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,8.0,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,8.0,0.7,0.7,8.0,base2026
w1320077081,1320077081,Hunter Street,secondary,10.6,corridor_trunk:base2026;corridor_trunk:S2c;corridor_trunk:S4;corridor_trunk:S5,1,8.4,1,osm,1.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,8.4,2.1,2.1,8.4,base2026
w880437944,880437944,Merewether Street,secondary,5.4,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,8.4,0,osm,1.0,imputed_rule,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,8.4,10.9,10.9,8.4,base2026
w31731520,31731520,Hunter Street,residential,130.8,corridor_trunk:base2026;corridor_trunk:S2c,1,8.5,1,osm,1.0,osm,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,800,imputed_rule,8.5,1.8,1.8,8.5,base2026
w575630149,575630149,Stewart Avenue,trunk,85.8,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,9.6,1,osm,2.0,imputed_rule,60.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1800,imputed_rule,9.6,4.3,4.3,9.6,base2026
w175584586,175584586,Stewart Avenue,trunk,64.8,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,9.8,1,osm,3.0,osm,60.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1800,imputed_rule,9.8,15.2,15.2,9.8,base2026
w539138940,539138940,Worth Place,service,134.8,corridor_cross,0,9.9,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,9.9,24.7,24.7,9.9,base2026
w329786565,329786565,,service,82.4,corridor_cross,0,10.4,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,10.4,26.6,26.6,10.4,base2026
w902505448,902505448,Telford Street,service,13.3,corridor_cross,0,10.8,0,imputed_rule,1.0,imputed_rule,40.0,osm,3.2,imputed_rule,,absent,clearway,osm,400,imputed_rule,10.8,63.0,63.0,10.8,base2026
w813693217,813693217,,service,47.5,corridor_cross,0,11.1,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,11.1,7.9,7.9,11.1,base2026
w1093509514,1093509514,,service,18.2,corridor_cross,0,11.8,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,11.8,23.1,23.1,11.8,base2026
w380459173,380459173,Scott Street,tertiary,15.3,corridor_trunk:base2026;corridor_trunk:S2c,1,11.9,0,imputed_rule,1.0,imputed_rule,40.0,osm,3.2,imputed_rule,,absent,clearway,osm,1200,imputed_rule,11.9,63.1,63.1,11.9,base2026
w886599911,886599911,Telford Street,residential,6.8,corridor_cross,0,11.9,0,imputed_rule,1.0,imputed_rule,40.0,osm,3.2,imputed_rule,,absent,clearway,osm,800,imputed_rule,11.9,63.1,63.1,11.9,base2026
w1459200288,1459200288,Market Street,service,36.3,corridor_cross,0,12.1,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,12.1,8.8,8.8,12.1,base2026
w139857908,139857908,Bellevue Street,residential,124.9,corridor_cross,0,12.5,0,imputed_rule,1.0,osm,50.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,800,imputed_rule,12.5,27.0,27.0,12.5,base2026
w902505451,902505451,Telford Street,service,49.5,corridor_cross,0,13.0,0,imputed_rule,1.0,imputed_rule,40.0,osm,3.2,imputed_rule,,absent,clearway,osm,400,imputed_rule,13.0,63.4,63.4,13.0,base2026
w383586433,383586433,Merewether Street,secondary,43.1,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,13.4,0,osm,1.0,imputed_rule,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,13.4,12.9,12.9,13.4,base2026
w676281537,676281537,Hunter Street,secondary,80.6,corridor_trunk:base2026;corridor_trunk:S2c,1,13.7,1,osm,2.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,13.7,68.1,68.1,13.7,base2026
w880437943,880437943,Darby Street,secondary,94.1,corridor_trunk:S4;corridor_trunk:S5;corridor_cross,1,13.7,0,imputed_rule,2.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,13.7,14.7,14.7,13.7,base2026
w327695153,327695153,,service,15.7,corridor_cross,0,14.4,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,14.4,30.8,30.8,14.4,base2026
w449633629,449633629,Worth Place,service,132.5,corridor_cross,0,14.9,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,14.9,13.2,13.2,14.9,base2026
w1000972296,1000972296,,service,19.7,corridor_cross,0,15.0,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,15.0,13.2,13.2,15.0,base2026
w243108214,243108214,,service,120.9,corridor_cross,0,15.1,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,15.1,16.5,16.5,15.1,base2026
w327695149,327695149,,service,16.2,corridor_cross,0,16.1,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,16.1,31.2,31.2,16.1,base2026
w902498609,902498609,Telford Street,residential,7.2,corridor_cross,0,16.1,0,imputed_rule,1.0,imputed_rule,40.0,osm,3.2,imputed_rule,,absent,clearway,osm,800,imputed_rule,16.1,64.0,64.0,16.1,base2026
w18055301,18055301,Brown Street,residential,90.6,corridor_cross,0,16.5,0,osm,1.0,osm,50.0,osm,3.2,imputed_rule,left|right,osm,unknown,imputed_rule,800,imputed_rule,16.5,8.7,8.7,16.5,base2026
w327695147,327695147,,service,61.7,corridor_cross,0,18.0,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,18.0,29.4,29.4,18.0,base2026
w327695154,327695154,,service,20.5,corridor_cross,0,18.3,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,18.3,33.2,33.2,18.3,base2026
w327695155,327695155,,service,35.1,corridor_cross,0,18.4,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,18.4,31.1,31.1,18.4,base2026
w327695152,327695152,,service,34.8,corridor_cross,0,18.6,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,18.6,34.2,34.2,18.6,base2026
w1390851993,1390851993,,service,29.3,corridor_cross,0,19.2,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,19.2,20.6,20.6,19.2,base2026
w743823407,743823407,,service,20.8,corridor_cross,0,19.7,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,19.7,30.0,30.0,19.7,base2026
w791985736,791985736,,service,35.5,corridor_cross,0,19.8,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,19.8,20.9,20.9,19.8,base2026
w415482986,415482986,Hunter Street,secondary,81.5,corridor_trunk:base2026;corridor_trunk:S2c,1,19.9,1,osm,2.0,osm,40.0,osm,3.2,imputed_rule,,absent,unknown,imputed_rule,1400,imputed_rule,19.9,76.7,76.7,19.9,base2026
w1093509512,1093509512,,service,127.4,corridor_cross,0,20.0,0,imputed_rule,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,20.0,10.2,10.2,20.0,base2026
w744210334,744210334,,service,30.1,corridor_cross,0,20.5,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,20.5,34.2,34.2,20.5,base2026
w744210336,744210336,,service,43.8,corridor_cross,0,20.5,1,osm,1.0,imputed_rule,20.0,imputed_rule,3.2,imputed_rule,,absent,unknown,imputed_rule,400,imputed_rule,20.5,34.2,34.2,20.5,base2026
