geography,source_file,FINANCIAL_YEAR,HH_LGA_ID,area_name,TRAVEL_PURPOSE,JOURNEYS_BY_MODE,PCT_OF_TOTAL_JOURNEYS,DISTANCE_BY_PURPOSE,PCT_OF_TOTAL_DISTANCE,JOURNEY_AVG_DISTANCE,JOURNEY_AVG_TIME,HH_SA3_ID
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,6400.0,Port Stephens,Personal business,21000,11.0,216000,8.6,10.4,18.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,6400.0,Port Stephens,Serve passenger*,32000,17.3,319000,12.7,9.9,14.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,6400.0,Port Stephens,Shopping,30000,16.2,219000,8.7,7.2,10.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,6400.0,Port Stephens,Social/recreation,52000,27.6,784000,31.2,15.1,15.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2024/25,6400.0,Port Stephens,Work related business**,8000,4.2,241000,9.6,30.5,36.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,1720.0,Cessnock,Commute*,32000,15.2,812000,29.8,25.2,30.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,1720.0,Cessnock,Education/childcare*,24000,11.4,190000,7.0,7.9,14.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,1720.0,Cessnock,Other**,3000,1.6,3000,0.1,0.8,6.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,1720.0,Cessnock,Personal business*,18000,8.5,162000,5.9,9.0,18.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,1720.0,Cessnock,Serve passenger*,50000,23.6,483000,17.7,9.7,14.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,1720.0,Cessnock,Shopping,42000,20.1,454000,16.6,10.7,16.2,
