geography,source_file,FINANCIAL_YEAR,HH_LGA_ID,area_name,TRAVEL_MODE,TRIPS_BY_MODE,PCT_OF_TOTAL_TRIPS,MODE_SHARE,DISTANCE_BY_MODE,PCT_OF_TOTAL_DISTANCE,TRIP_AVG_DISTANCE,TRIP_AVG_TIME,HH_SA3_ID
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,1720.0,Cessnock,Walk only*,19000,8.8,8.9,10000,0.4,0.5,6.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Other*,7000,0.9,1.0,31000,0.4,4.5,14.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Public transport,37000,5.0,5.5,707000,10.3,19.2,31.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Vehicle driver,400000,54.7,59.3,4475000,65.1,11.2,18.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Vehicle passenger,151000,20.6,22.4,1519000,22.1,10.0,16.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Walk linked,57000,7.8,0.0,72000,1.0,1.3,14.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,4650.0,Lake Macquarie,Walk only,80000,10.9,11.9,70000,1.0,0.9,13.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Other*,4000,1.0,1.1,18000,0.4,4.6,20.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Public transport**,3000,0.9,1.0,49000,1.2,14.0,25.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Vehicle driver,196000,53.0,53.4,2828000,69.4,14.4,20.5,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Vehicle passenger*,125000,33.8,34.1,1158000,28.4,9.3,16.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Walk linked*,3000,0.9,0.0,3000,0.1,1.0,9.1,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5050.0,Maitland,Walk only*,39000,10.4,10.5,19000,0.5,0.5,11.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Other,16000,2.9,3.0,77000,1.5,4.7,19.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Public transport,15000,2.6,2.7,362000,7.3,24.5,37.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Vehicle driver,317000,55.9,58.6,3432000,69.1,10.8,17.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Vehicle passenger,109000,19.2,20.1,1020000,20.5,9.4,15.0,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Walk linked*,26000,4.5,0.0,17000,0.3,0.7,13.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,5900.0,Newcastle,Walk only,84000,14.9,15.6,60000,1.2,0.7,12.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Other**,2000,0.8,0.9,12000,0.4,6.2,23.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Public transport*,8000,3.4,3.5,115000,4.1,14.2,28.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Vehicle driver,160000,67.9,69.4,2343000,82.7,14.7,19.5,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Vehicle passenger*,35000,14.8,15.1,342000,12.1,9.8,16.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Walk linked*,5000,2.2,0.0,5000,0.2,0.9,17.5,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2023/24,6400.0,Port Stephens,Walk only*,26000,10.8,11.1,14000,0.5,0.6,10.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Public transport**,4000,2.5,2.6,56000,2.7,12.5,23.1,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Vehicle driver,113000,64.7,65.3,1571000,77.4,13.9,18.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Vehicle passenger*,39000,22.5,22.7,394000,19.4,10.0,15.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Walk linked**,2000,0.9,0.0,1000,0.0,0.5,10.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,1720.0,Cessnock,Walk only*,16000,9.3,9.4,10000,0.5,0.6,7.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Other*,6000,0.8,0.8,30000,0.4,5.0,14.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Public transport*,32000,4.2,4.6,575000,7.6,18.1,30.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Vehicle driver,405000,53.4,58.3,4748000,62.5,11.7,18.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Vehicle passenger,163000,21.5,23.5,2091000,27.5,12.8,19.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Walk linked,63000,8.3,0.0,83000,1.1,1.3,17.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,4650.0,Lake Macquarie,Walk only,89000,11.8,12.8,74000,1.0,0.8,17.5,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Other**,4000,1.1,1.1,17000,0.4,4.0,25.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Public transport**,5000,1.2,1.2,55000,1.3,12.1,27.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Vehicle driver,209000,53.0,53.7,3036000,70.8,14.5,19.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Vehicle passenger*,131000,33.3,33.7,1158000,27.0,8.8,15.5,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Walk linked*,5000,1.3,0.0,4000,0.1,0.8,7.6,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5050.0,Maitland,Walk only*,40000,10.2,10.4,18000,0.4,0.5,11.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Other*,14000,2.4,2.4,72000,1.6,5.2,19.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Public transport,13000,2.3,2.4,212000,4.7,15.9,30.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Vehicle driver,335000,57.3,59.4,3392000,75.4,10.1,16.7,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Vehicle passenger,132000,22.5,23.4,759000,16.9,5.8,12.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Walk linked,21000,3.6,0.0,15000,0.3,0.7,15.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,5900.0,Newcastle,Walk only*,70000,11.9,12.4,49000,1.1,0.7,10.9,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Other**,1000,0.5,0.5,7000,0.2,6.2,23.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Public transport*,11000,4.4,4.6,257000,8.0,23.4,40.3,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Vehicle driver,168000,67.7,70.1,2536000,79.4,15.1,19.8,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Vehicle passenger*,34000,13.7,14.1,372000,11.6,10.9,17.2,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Walk linked*,8000,3.3,0.0,7000,0.2,0.8,13.4,
lga,hts_by_lga_2020-21_to_2024-25.xlsx,2022/23,6400.0,Port Stephens,Walk only*,26000,10.4,10.7,15000,0.5,0.6,11.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Bus,2000,1.2,1.2,9000,0.4,4.7,11.3,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Other,1000,0.6,0.6,1000,0.0,0.5,4.0,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Vehicle Driver,107000,64.5,64.8,1825000,78.6,17.1,22.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Vehicle Passenger,53000,31.9,32.1,486000,20.9,9.1,13.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Walk Linked,1000,0.6,,0,0.0,0.1,2.0,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,1720.0,Cessnock,Walk Only,2000,1.2,1.2,1000,0.0,0.4,7.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Bus,21000,2.9,3.0,195000,2.7,9.3,22.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Other,15000,2.1,2.1,139000,1.9,9.3,42.3,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Train,4000,0.6,0.6,275000,3.8,73.6,67.7,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Vehicle Driver,417000,57.4,59.2,4838000,67.0,11.6,18.9,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Vehicle Passenger,187000,25.8,26.6,1698000,23.5,9.1,15.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Walk Linked,22000,3.0,,17000,0.2,0.8,8.4,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,4650.0,Lake Macquarie,Walk Only,60000,8.3,8.5,59000,0.8,1.0,13.0,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Bus,1000,0.4,0.5,10000,0.4,6.6,13.7,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Train,4000,1.8,1.8,77000,3.1,21.6,25.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Vehicle Driver,143000,63.3,65.6,1945000,78.1,13.6,21.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Vehicle Passenger,53000,23.5,24.3,431000,17.3,8.2,13.7,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Walk Linked,8000,3.5,,9000,0.4,1.0,9.9,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5050.0,Maitland,Walk Only,17000,7.5,7.8,17000,0.7,1.0,19.9,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Bus,29000,4.7,5.1,158000,3.6,5.4,20.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Other,24000,3.9,4.2,74000,1.7,3.1,16.7,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Train,9000,1.5,1.6,998000,22.6,109.5,97.9,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Vehicle Driver,348000,56.5,61.4,2504000,56.7,7.2,14.9,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Vehicle Passenger,99000,16.1,17.5,595000,13.5,6.0,14.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Walk Linked,49000,8.0,,37000,0.8,0.8,9.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,5900.0,Newcastle,Walk Only,58000,9.4,10.2,51000,1.2,0.9,10.6,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Bus,1000,0.5,0.5,30000,1.1,21.1,41.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Other,3000,1.6,1.6,9000,0.3,3.5,25.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Vehicle Driver,131000,70.4,70.8,1743000,65.7,13.3,17.4,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Vehicle Passenger,45000,24.2,24.3,866000,32.7,19.4,29.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Walk Linked,1000,0.5,,0,0.0,0.1,30.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2019/20,6400.0,Port Stephens,Walk Only,5000,2.7,2.7,3000,0.1,0.6,13.7,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Bus,1000,0.5,0.5,4000,0.1,3.0,10.0,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Vehicle Driver,119000,63.3,63.6,2120000,76.8,17.8,22.0,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Vehicle Passenger,62000,33.0,33.2,634000,23.0,10.2,14.0,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Walk Linked,1000,0.5,,0,0.0,0.1,2.0,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,1720.0,Cessnock,Walk Only,5000,2.7,2.7,2000,0.1,0.4,8.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Bus,16000,2.3,2.4,147000,2.3,9.4,20.7,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Other,15000,2.1,2.2,149000,2.3,9.9,44.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Train,4000,0.6,0.6,371000,5.7,95.0,80.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Vehicle Driver,406000,57.8,59.9,4321000,66.6,10.6,18.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Vehicle Passenger,175000,24.9,25.8,1419000,21.9,8.1,14.9,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Walk Linked,24000,3.4,,21000,0.3,0.9,8.6,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,4650.0,Lake Macquarie,Walk Only,62000,8.8,9.1,57000,0.9,0.9,12.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5050.0,Maitland,Train,3000,1.6,1.7,81000,4.4,24.6,30.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5050.0,Maitland,Vehicle Driver,125000,66.8,69.4,1419000,76.4,11.3,19.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5050.0,Maitland,Vehicle Passenger,37000,19.8,20.6,334000,18.0,9.0,16.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5050.0,Maitland,Walk Linked,7000,3.7,,6000,0.3,0.9,7.2,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5050.0,Maitland,Walk Only,15000,8.0,8.3,17000,0.9,1.2,20.9,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5900.0,Newcastle,Bus,29000,4.9,5.3,169000,3.8,5.8,22.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5900.0,Newcastle,Other,30000,5.1,5.5,104000,2.3,3.5,17.4,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5900.0,Newcastle,Train,11000,1.9,2.0,1432000,31.9,126.2,110.6,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5900.0,Newcastle,Vehicle Driver,337000,57.1,61.3,2223000,49.5,6.6,14.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5900.0,Newcastle,Vehicle Passenger,84000,14.2,15.3,487000,10.8,5.8,14.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5900.0,Newcastle,Walk Linked,40000,6.8,,26000,0.6,0.6,6.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,5900.0,Newcastle,Walk Only,59000,10.0,10.7,53000,1.2,0.9,11.4,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,6400.0,Port Stephens,Bus,2000,1.0,1.0,32000,1.2,21.1,41.5,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,6400.0,Port Stephens,Other,2000,1.0,1.0,9000,0.3,4.6,30.0,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,6400.0,Port Stephens,Vehicle Driver,139000,72.0,72.0,1791000,66.1,12.9,16.7,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,6400.0,Port Stephens,Vehicle Passenger,47000,24.4,24.4,876000,32.3,18.8,29.8,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2018/19,6400.0,Port Stephens,Walk Only,3000,1.6,1.6,1000,0.0,0.4,8.6,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,1720.0,Cessnock,Bus,1000,0.5,0.5,3000,0.1,3.0,10.0,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,1720.0,Cessnock,Vehicle Driver,113000,60.4,61.4,1901000,71.1,16.8,21.4,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,1720.0,Cessnock,Vehicle Passenger,65000,34.8,35.3,765000,28.6,11.7,15.1,
lga,hts_by_lga_2009-10_to_2019-20.xlsx,2017/18,1720.0,Cessnock,Walk Linked,3000,1.6,,1000,0.0,0.4,8.6,
