parking_facility_id,lat,lon,type,osm_parking,capacity_spaces,capacity_source,fee,charge,max_stay_min,access,operator,surface,levels,name,scenario_variant_ref
pw933277157,-32.8918234,151.7032682,offstreet_public,surface,,imputed,yes,,,yes,University of Newcastle,asphalt,,,base2026
pw1342634894,-32.8894077,151.7061353,onstreet,street_side,4,osm,yes,,,yes,University of Newcastle,asphalt,,,base2026
pw1342634895,-32.8893665,151.7061638,offstreet_public,surface,1,osm,yes,,,yes,University of Newcastle,asphalt,,,base2026
pw1342634896,-32.8893836,151.7061453,offstreet_public,surface,1,osm,yes,,,yes,University of Newcastle,asphalt,,,base2026
pw1342634897,-32.8894139,151.7061124,offstreet_public,surface,1,osm,yes,,,yes,University of Newcastle,asphalt,,,base2026
pw1342634898,-32.8894336,151.7060923,offstreet_public,surface,1,osm,yes,,,yes,University of Newcastle,asphalt,,,base2026
pw1345308837,-32.8953668,151.7030877,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308838,-32.8953976,151.703327,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308839,-32.8953979,151.7033541,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308840,-32.895348,151.7033341,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308841,-32.8953252,151.7033057,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308842,-32.8953022,151.7032746,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308843,-32.8952798,151.7032433,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308844,-32.8952575,151.7032128,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308845,-32.8952347,151.7031818,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308846,-32.8952112,151.7031503,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308847,-32.8953673,151.7033566,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308848,-32.8951863,151.7031391,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308849,-32.8953483,151.7030816,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308850,-32.8953067,151.7030871,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308851,-32.8952747,151.7030855,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308852,-32.8952422,151.7030841,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308853,-32.8952115,151.7030801,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308854,-32.8951524,151.7030776,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308855,-32.8951776,151.703081,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308856,-32.8953851,151.7029266,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308857,-32.8953516,151.702927,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308858,-32.8953193,151.7029264,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308859,-32.8952871,151.7029258,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308860,-32.8952547,151.7029253,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308861,-32.8952221,151.7029247,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308862,-32.8951888,151.7029238,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308863,-32.8951495,151.7029719,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308864,-32.8951901,151.7029685,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308865,-32.8952227,151.7029691,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308866,-32.895255,151.7029697,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308867,-32.8952874,151.7029701,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308868,-32.8953196,151.7029711,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308869,-32.8953526,151.7029714,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308870,-32.8953818,151.7029769,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308871,-32.8953869,151.702789,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308872,-32.8953547,151.7027887,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308873,-32.895322,151.7027882,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308874,-32.8952849,151.702794,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308875,-32.8952528,151.7027932,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308876,-32.8952248,151.7027865,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308877,-32.8951946,151.7027902,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308878,-32.8953775,151.7028395,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308879,-32.8952256,151.7028304,offstreet_public,,1,osm,,,,,,,,,base2026
pw1345308880,-32.895258,151.7028314,offstreet_public,,1,osm,,,,,,,,,base2026
