node_id,lat,lon,direction,signal_type,ped_phase_flag,button_operated,name
11989946659,-32.924233,151.6238191,forward,,-1,,
11989946660,-32.9239945,151.6237426,forward,,-1,,
11989946661,-32.9241484,151.6239847,forward,,-1,,
13227076265,-32.9182216,151.5980417,forward,signal,-1,,
13227076266,-32.9185217,151.5980273,forward,signal,-1,,
13238600303,-32.9158741,151.5986994,forward,signal,-1,,
13238600304,-32.915811,151.5989881,forward,signal,-1,,
13238600305,-32.9159895,151.5991486,forward,signal,-1,,
13238600306,-32.9160956,151.5988002,forward,signal,-1,,
11982726065,-32.9215169,151.6225161,forward,,-1,,
11982726066,-32.9216155,151.622357,backward,,-1,,
11982726067,-32.9217731,151.6224538,backward,,-1,,
62551861,-33.0865571,151.6392035,forward,traffic_lights,1,,
6405281861,-33.0865716,151.6394273,backward,traffic_lights,-1,,
6773530253,-33.0859058,151.6400092,backward,signal,-1,,
6773530260,-33.0861555,151.6398189,forward,signal,-1,,
11583137471,-33.0897175,151.6382333,forward,signal,-1,,
11583137472,-33.08958,151.6381096,forward,signal,-1,,
11583137473,-33.0896155,151.6383428,backward,signal,-1,,
11583137474,-33.0896335,151.6384559,forward,signal,-1,,
11583137475,-33.0895936,151.6386289,forward,signal,-1,,
12751807555,-33.0860585,151.6396421,forward,signal,-1,,
1522935308,-33.0848769,151.6407165,forward,traffic_lights,1,,
6405281862,-33.0847838,151.6405574,backward,traffic_lights,-1,,
12751807556,-33.0858075,151.6398332,backward,signal,-1,,
5644002127,-33.0794953,151.6504129,forward,signal,-1,,
11583097119,-33.0797901,151.6507272,backward,signal,-1,,
11583097120,-33.079758,151.6504264,forward,signal,-1,,
11583097153,-33.0795372,151.6506828,forward,signal,-1,,
3333483525,-33.0568766,151.6537427,forward,signal,-1,,
12751748738,-33.0568718,151.6534037,forward,signal,-1,,
12751748739,-33.0570963,151.6534113,forward,signal,-1,,
3395015118,-33.0491117,151.6549566,forward,signal,-1,,
11949709966,-33.0489257,151.6550999,forward,signal,-1,,
11949709968,-33.049045,151.6551993,backward,signal,-1,,
12750854420,-33.0432488,151.6567332,forward,signal,-1,,
12750854421,-33.0431127,151.6568697,forward,signal,-1,,
11295245539,-33.036172,151.6604647,forward,signal,-1,,
11295245540,-33.0360445,151.660405,backward,signal,-1,,
11295245541,-33.0359499,151.660665,forward,signal,-1,,
11295264188,-33.0372833,151.6598518,forward,signal,-1,,
11295264191,-33.0371769,151.6599974,forward,signal,-1,,
11295303020,-33.0383624,151.6591452,forward,signal,-1,,
11295303044,-33.0384691,151.6591622,forward,signal,-1,,
11295303045,-33.0384358,151.6594172,backward,signal,-1,,
11295303065,-33.0359426,151.6592104,backward,signal,-1,,
11295303066,-33.036069,151.6593317,backward,signal,-1,,
11295303374,-33.0359665,151.6594924,forward,signal,-1,,
11295316979,-33.0335365,151.6610557,backward,signal,-1,,
11295316980,-33.0334939,151.6607161,forward,signal,-1,,
11295316983,-33.033656,151.6608513,forward,signal,-1,,
11295316981,-33.0333791,151.6609317,forward,signal,-1,,
11556017244,-33.0291073,151.6610317,forward,signal,-1,,
11556017256,-33.0290068,151.6612733,forward,signal,-1,,
11556017261,-33.0292439,151.661121,forward,signal,-1,,
11823834330,-33.0253018,151.6623049,forward,signal,-1,,
11823834333,-33.0251347,151.6625384,forward,signal,-1,,
11823834334,-33.0251364,151.6622733,forward,signal,-1,,
12587060575,-33.0240133,151.6633192,forward,signal,-1,,
17383600,-33.0238296,151.6635725,,,-1,,
1835850314,-33.0240413,151.6635562,forward,signal,-1,,
11989946654,-33.0214968,151.6664021,forward,,-1,,
11989946655,-33.0215562,151.6666102,forward,,-1,,
12222329469,-33.0214113,151.6667196,forward,signal,-1,,
11290644341,-33.0202359,151.6678927,forward,,-1,,
11290644342,-33.0201585,151.6680437,forward,signal,-1,,
13107993146,-33.0144915,151.6647454,backward,signal,-1,,
