rel_id,restriction,from_way,via_member,to_way,lat,lon,located_by,source,dist_to_base2026_m,dist_to_S2c_m,dist_to_S4_m,dist_to_S5_m,corridor_flag
8211250,no_u_turn,1324584312,980000714,1324584311,-32.9081765,151.6982634,via_way,osm,inf,inf,inf,1480.2,0
8211251,no_u_turn,580160640,580160639,570218415,-32.9091222,151.705122,via_way,osm,inf,inf,3160.0,1367.1,0
8211436,no_u_turn,418259552,419698284,580178236,-32.940586,151.7122979,via_way,osm,inf,inf,2740.7,1912.9,0
8211437,no_u_turn,1167867250,1167867249,1167867251,-32.9515393,151.7141323,via_way,osm,inf,inf,3572.8,3114.0,0
8211438,no_u_turn,1167867251,1167867248,1167867250,-32.9513969,151.7140017,via_way,osm,inf,inf,3565.8,3098.3,0
8211439,no_u_turn,1306726214,1306726212,1306726213,-32.9510159,151.7177578,via_way,osm,inf,inf,3357.1,3065.2,0
8211440,no_u_turn,580178255,25993844,580178252,-32.9506101,151.7217457,via_way,osm,inf,inf,3151.9,3026.2,0
8212752,no_right_turn,28813396,5555774275,406577423,-32.951836,151.5854408,via_node,osm,inf,inf,inf,inf,0
8212841,no_right_turn,24028288,5555848841,62393560,-32.9747845,151.5330602,via_node,osm,inf,inf,inf,inf,0
8213252,no_right_turn,173066236,1838914499,1257757983,-33.2434941,151.4722621,via_node,osm,inf,inf,inf,inf,0
8213253,no_right_turn,580415243,1838914499,173066236,-33.2434941,151.4722621,via_node,osm,inf,inf,inf,inf,0
8214091,no_u_turn,580519740,173687246,580519736,-33.1788722,151.5990529,via_way,osm,inf,inf,inf,inf,0
8214189,only_straight_on,1464988017,13436884719,553372051,-33.1595898,151.6119455,via_node,osm,inf,inf,inf,inf,0
8214190,only_straight_on,1464988008,9963278706,1111989373,-33.1597693,151.6113836,via_node,osm,inf,inf,inf,inf,0
8214191,no_u_turn,580522589,173558301,580522586,-33.1656288,151.6098856,via_way,osm,inf,inf,inf,inf,0
8214801,no_u_turn,849043656,580579468,649177317,-32.9367203,151.6574181,via_way,osm,inf,inf,inf,inf,0
8219231,no_u_turn,580989612,580989615,580989614,-33.0061753,151.685006,via_way,osm,inf,inf,inf,inf,0
8219242,no_u_turn,580991066,347409487,580991065,-32.9996655,151.6857263,via_way,osm,inf,inf,inf,inf,0
8220498,no_u_turn,581228293,1189935819,509873065,-32.6160092,151.1018256,via_node,osm,inf,inf,inf,inf,0
8220546,no_u_turn,581237471,51647207,1326381879,-33.2300601,151.4246043,via_node,osm,inf,inf,inf,inf,0
8220731,no_u_turn,581264237,4166596337,581264234,-32.8746313,151.7477932,via_node,osm,inf,inf,inf,inf,0
8221121,no_u_turn,581320410,4077889218,581320408,-32.550537,151.0315032,via_node,osm,inf,inf,inf,inf,0
8221124,only_straight_on,405637537,4077889226,581320979,-32.551094,151.0303078,via_node,osm,inf,inf,inf,inf,0
8226960,no_u_turn,69547037,832362809,443177717,-32.6487425,151.9153444,via_node,osm,inf,inf,inf,inf,0
8226969,no_u_turn,4644767,29549128,28484489,-32.649182,151.9259203,via_node,osm,inf,inf,inf,inf,0
8316790,no_u_turn,1093137534,573185799,1093137538,-32.9947824,151.6877906,via_way,osm,inf,inf,inf,inf,0
8355090,no_right_turn,200889140,1848267660,594136839,-32.9691771,151.7085302,via_node,osm,inf,inf,inf,inf,0
8355091,no_u_turn,847344908,4409599934,443374829,-32.9749892,151.6463143,via_node,osm,inf,inf,inf,inf,0
8355092,no_right_turn,255621582,2612975919,1329831814,-32.9838956,151.6640293,via_node,osm,inf,inf,inf,inf,0
8551929,only_right_turn,618679749,1835281151,172669529,-32.9106644,151.6641179,via_node,osm,inf,inf,inf,3108.2,0
8735500,no_u_turn,627908821,824532331,674432567,-32.8185591,151.4835017,via_node,osm,inf,inf,inf,inf,0
8741989,no_u_turn,31010795,344820635,31010796,-32.7655886,151.6073139,via_node,osm,inf,inf,inf,inf,0
8785730,no_right_turn,1367633682,417261928,29224666,-32.5614928,151.1708893,via_node,osm,inf,inf,inf,inf,0
8785731,no_right_turn,1365717909,325602344,1426500998,-32.567377,151.1650549,via_node,osm,inf,inf,inf,inf,0
