rel_id,restriction,members
10633713,no_u_turn,way:260876499:from;node:2664628245:via;way:260888133:to
10633714,no_u_turn,way:401076970:from;way:712064158:via;way:712064157:to
8154309,no_u_turn,way:1324599305:to;way:573742786:via;way:700122760:from
8154310,no_u_turn,way:573742786:via;way:1324599315:to;way:700122761:from
10606107,no_u_turn,way:688597048:from;way:39260159:via;way:782048687:to
10606108,no_u_turn,way:1324599316:from;way:39260159:via;way:1324599303:to
10606109,no_u_turn,way:764684258:from;way:170545512:via;way:764684260:to
10606110,no_u_turn,way:170545512:from;way:764684260:via;way:184740433:to
10606111,no_u_turn,way:764684260:from;way:184740433:via;way:764684258:to
10606112,no_u_turn,way:184740433:from;way:764684258:via;way:170545512:to
8127595,no_u_turn,way:569800612:from;way:409004585:to;node:97639802:via
5991671,no_right_turn,way:1322973030:from;node:188528207:via;way:398832519:to
8117183,no_u_turn,way:1305659972:from;node:17383176:via;way:380459171:to
8117184,only_left_turn,way:17622410:from;way:570069759:to;node:182459172:via
17918312,no_u_turn,way:380459171:from;way:1306277815:via;way:1305659972:to
8116999,no_right_turn,way:398832518:from;way:1322973021:to;node:174779097:via
8117185,only_left_turn,way:950665463:from;way:570069762:to;node:176667966:via
17728447,no_u_turn,way:410266301:from;way:16861969:to;node:174779097:via
17918311,no_u_turn,way:1305659973:from;way:1306277815:via;way:380459172:to
5174378,no_right_turn,way:17033103:from;node:97638239:via;way:10954629:to
8116959,only_left_turn,way:1324890923:from;way:10954629:to;node:97638239:via
8117180,no_u_turn,way:243416770:from;way:410723464:to;node:771375776:via
13312044,no_u_turn,way:464200338:from;node:4123981046:via;way:984489042:to
5174380,no_right_turn,way:170833639:from;node:97638239:via;way:17033103:to
8116960,no_right_turn,way:1319724255:from;way:532943008:to;node:1840986894:via
8116961,no_right_turn,way:1319724254:from;way:398833279:to;node:186780760:via
11880428,only_left_turn,way:870703387:from;node:6961664365:via;way:870703386:to
5174381,no_right_turn,way:1324890926:from;node:176632833:via;way:1322802413:to
5174382,no_left_turn,way:1322983859:from;node:176632812:via;way:347014133:to
5174383,no_right_turn,node:176632812:via;way:398832521:from;way:398832534:to
5991672,no_right_turn,way:380519861:from;node:188528207:via;way:1322973030:to
12194540,only_left_turn,way:1322983860:from;node:8326749866:via;way:18298327:to
12194541,only_left_turn,way:895780489:from;node:188523436:via;way:398832521:to
8117181,no_u_turn,way:243292583:from;way:243292586:to;node:2507215769:via
8117182,no_u_turn,way:243292585:from;way:243292584:to;node:2507215744:via
8150829,no_u_turn,way:200702447:from;way:39259458:to;node:272204102:via
8150832,no_u_turn,way:172631275:from;way:573328884:to;way:573328880:via
8150751,no_u_turn,way:332381296:from;way:573325148:via;way:688558161:to
8150752,no_u_turn,way:573325151:from;way:573325148:via;way:688558152:to
8150755,no_u_turn,way:378378889:from;node:337354143:via;way:688558165:to
8150824,no_u_turn,way:1441524751:from;node:272244366:via;way:1221729697:to
4107393,only_right_turn,way:307524785:to;node:1835178782:via;way:573328880:from
8114718,no_u_turn,way:569800608:from;way:569800607:to;way:569800609:via
8114720,no_u_turn,way:410266299:from;node:272244283:via;way:25028007:to
8150828,no_u_turn,way:37031560:from;way:307524785:to;way:573328880:via
11999628,no_left_turn,way:688558181:from;node:4121006090:via;way:244672853:to
11999629,only_straight_on,way:569800607:from;node:1835178744:via;way:688558180:to
11999630,no_u_turn,way:569800610:from;node:2675933502:via;way:569800609:to
14227484,no_left_turn,way:1441529775:from;node:1835178744:via;way:688558180:to
8117177,no_right_turn,way:508425416:from;way:173254623:to;node:1840986874:via
12194780,no_right_turn,way:895812943:from;node:8327006533:via;way:895812925:to
12194781,only_left_turn,way:895812924:from;node:8327006530:via;way:895812944:to
13244979,no_u_turn,way:508425425:from;node:188528141:via;way:255347503:to
17719907,no_u_turn,way:895812919:from;way:508425425:to;node:8327006516:via
5991861,only_left_turn,node:188528141:via;way:398852810:to;way:398852800:from
8112227,no_u_turn,way:173254610:from;way:31731494:to;node:17379880:via
12212209,no_right_turn,way:173254612:from;node:272199171:via;way:888333612:to
17719847,no_u_turn,way:326871089:from;way:1087917664:via;way:172631272:to
17719908,no_u_turn,way:1319724257:from;way:508425416:via;way:261326389:to
17723637,no_u_turn,way:688558215:from;way:532943028:via;way:307584583:to
18816782,no_right_turn,way:47893734:from;way:712318291:to;node:189698998:via
17719815,no_u_turn,way:688558209:from;way:1292587784:via;way:307584581:to
17719816,no_u_turn,way:688558204:from;way:1292587784:via;way:688558198:to
17723636,no_u_turn,way:688558214:from;way:532943028:via;way:688558207:to
8105538,no_right_turn,node:174794562:via;way:569092891:to;way:569683791:from
8112228,no_right_turn,way:569683791:to;node:1835178765:via;way:570069737:from
8116881,no_u_turn,way:688558118:to;way:570051317:via;way:573328861:from
8117178,no_right_turn,way:570069741:from;way:570069737:to;node:1840986595:via
8150825,no_u_turn,way:573328862:from;way:570051317:to;way:573328861:via
8150826,no_u_turn,way:570051316:from;way:573328870:to;way:573328863:via
8150827,no_u_turn,way:569683792:from;way:573328865:to;way:573328863:via
8172021,no_u_turn,way:570069737:from;way:569092891:to;way:569683791:via
8172022,no_u_turn,way:569092891:from;way:570069737:to;way:570069741:via
8172023,no_u_turn,way:570069741:from;way:569683791:to;way:570069737:via
8172024,no_u_turn,way:569683791:from;way:570069741:to;way:569092891:via
8150757,no_u_turn,way:261179745:from;way:1324584317:to;way:573325157:via
8150758,no_u_turn,way:573325158:from;way:573325157:via;way:1324584316:to
17719751,no_u_turn,way:1292584083:from;way:1087917661:via;way:1292584084:to
17719752,no_u_turn,way:1324584320:from;way:1087917661:via;way:31731493:to
8150831,no_u_turn,way:532942987:to;way:881807846:via;way:703370013:from
8097987,no_u_turn,way:385687523:from;way:385687525:to;node:3890240217:via
8097988,no_u_turn,way:385687524:from;way:385687526:to;node:3890240223:via
8097989,no_u_turn,way:175413330:from;way:385687528:to;node:3890240220:via
3517392,only_left_turn,way:173278212:from;node:1841234057:via;way:703370012:to
3517401,only_left_turn,way:261966514:from;way:165819438:to;node:456930146:via
8150830,no_u_turn,way:1324584322:from;way:1324584321:to;way:881807846:via
17719909,no_u_turn,way:573328874:from;way:881807847:to;node:8200592543:via
17719910,no_u_turn,way:881807847:from;way:573328874:to;node:1835204680:via
8150833,no_right_turn,way:261325293:from;way:148163736:to;node:1612632843:via
11981526,no_right_turn,way:773876574:from;node:1835184020:via;way:881195486:to
18146890,only_left_turn,way:1322880343:from;node:1843655708:via;way:1322384423:to
17719905,no_u_turn,way:912229858:from;way:196378249:to;node:1835184021:via
17719906,no_u_turn,way:1016788677:from;way:912229858:to;node:8474224261:via
3508803,only_left_turn,way:261326310:to;node:186780859:via;way:611263057:from
8116664,no_u_turn,way:261326139:from;way:261326138:to;node:2669590797:via
3508802,only_left_turn,way:261326309:from;way:18068521:to;node:186780787:via
8172019,no_u_turn,way:862909832:from;way:508425394:to;way:575626885:via
8172046,no_u_turn,way:1324859472:from;way:575630130:to;way:575630134:via
18146891,only_left_turn,way:47893950:from;node:189698998:via;way:712318291:to
8116824,no_right_turn,way:508425383:from;way:380459181:to;node:17379913:via
8116825,only_left_turn,way:380459181:from;way:508425383:to;node:17379913:via
8116882,no_u_turn,way:862909825:from;way:508425412:to;node:188512957:via
8172010,no_u_turn,way:419699912:from;way:532949909:to;way:508425410:via
8172011,no_u_turn,way:532949909:from;way:419699912:to;way:508425404:via
8172012,no_u_turn,way:508425410:from;way:508425404:to;way:532949909:via
8172013,no_u_turn,way:508425404:from;way:508425410:to;way:419699912:via
8172014,no_u_turn,way:1324584330:from;way:3505881:via;way:1324584328:to
8172015,no_right_turn,way:1324584330:from;way:3505881:to;node:17379901:via
8172016,no_u_turn,way:1324848032:from;way:1324848033:to;way:3505881:via
8172017,no_right_turn,way:1324848032:from;way:3505881:to;node:1835178730:via
8172020,no_u_turn,way:1324584334:from;way:1324584332:to;way:575626885:via
8172048,no_u_turn,way:347409332:via;way:1057570035:to;way:1057570033:from
8172304,no_u_turn,way:575648841:from;way:72369560:to;node:1835178769:via
12022290,only_straight_on,way:173254594:from;node:1840986597:via;way:575648842:to
14108377,no_left_turn,way:1324848040:from;node:1835964489:via;way:1324848039:to
14108378,no_u_turn,way:1057570034:from;way:1057570033:via;way:347409332:to
14108379,no_u_turn,way:1057570035:from;way:1057570034:via;way:1057570033:to
17719845,no_left_turn,way:532942998:from;way:1324584332:to;node:1840986782:via
17719846,no_u_turn,way:508425402:from;way:1087917664:via;way:1292591716:to
13420731,no_u_turn,way:415482986:from;node:1847056835:via;way:676281537:to
14317931,no_u_turn,way:327722943:from;node:9239464135:via;way:380459178:to
14317932,no_u_turn,way:380459178:from;node:1848213216:via;way:327722943:to
17080587,no_right_turn,way:891085244:from;node:5987391092:via;way:1000972294:to
12189258,only_left_turn,way:895380203:from;node:8322875524:via;way:895380208:to
11787846,only_left_turn,way:862889479:from;node:8038576958:via;way:684683287:to
11974215,no_right_turn,way:415393719:from;node:355022066:via;way:880437940:to
11974216,no_left_turn,way:880437939:from;node:355022066:via;way:880437940:to
8096987,no_u_turn,way:291699372:from;way:291699371:to;node:2951675354:via
11787847,only_straight_on,way:684683287:from;node:8038576958:via;way:863181950:to
11811355,only_left_turn,way:676281534:from;node:8038576927:via;way:865288027:to
11974218,no_right_turn,way:880437939:from;node:355022066:via;way:190524730:to
11974222,only_left_turn,way:862889476:from;node:8038576949:via;way:880437943:to
13424021,no_right_turn,way:1320077081:from;node:5952824097:via;way:630409402:to
13424022,no_u_turn,way:190524730:from;way:630409402:via;way:880437935:to
15475749,no_left_turn,way:538437625:from;node:356990750:via;way:1293396898:to
17731798,no_u_turn,way:862889481:from;way:862889482:to;node:5967791212:via
17731799,no_u_turn,way:1144986378:from;way:1293396898:to;node:734044960:via
17731800,no_left_turn,way:863181950:from;way:1324584339:to;node:356990750:via
20286355,no_right_turn,way:862889474:from;node:8038576921:via;way:676281534:to
11845455,only_left_turn,way:827806695:from;node:186656694:via;way:867849754:to
11845456,no_straight_on,way:18055301:from;node:186643960:via;way:867849757:to
8172305,no_u_turn,way:173151633:from;way:18397208:to;node:1839787483:via
17731845,no_u_turn,way:58797504:from;way:575630134:via;way:1324859473:to
20059372,no_u_turn,way:413096155:from;way:413096156:to;node:4144245133:via
20059373,no_u_turn,way:175704734:from;way:413096154:to;node:4144245130:via
20059374,no_u_turn,way:84515003:from;way:1465288989:to;node:981900965:via
17719755,no_u_turn,way:1324859478:from;way:1292584086:via;way:1324859479:to
17719756,no_u_turn,way:1324859476:from;way:1292584086:via;way:1324859477:to
11851468,only_straight_on,way:868132215:from;node:7007863500:via;way:902860725:to
12256913,,way:630409399:from;node:5952824128:via;way:1224930744:to
10603440,no_u_turn,way:31731541:from;node:355022231:via;way:31731539:to
10603441,no_u_turn,way:31731542:from;node:355022318:via;way:754126910:to
10603442,no_u_turn,way:754126909:from;node:355022301:via;way:31731535:to
17719842,no_u_turn,way:1224930742:from;way:32776792:via;way:1224930744:to
17719843,no_u_turn,way:654397477:from;way:32776792:via;way:902502665:to
17719844,no_u_turn,way:902502665:from;way:654397477:to;node:10167781787:via
3873644,no_right_turn,way:291701229:from;way:195910730:to;node:2951711951:via
8131556,no_u_turn,way:443189486:from;way:443189487:to;node:29548461:via
8154206,no_u_turn,way:24056705:from;way:8439556:to;node:29548508:via
8154221,no_u_turn,way:443189488:from;way:443189485:to;node:4408119653:via
8131256,no_u_turn,way:32226117:from;way:4644751:to;node:29548977:via
8106732,no_u_turn,way:443186302:from;way:443186301:to;node:1835513839:via
8106733,no_u_turn,way:172669548:from;way:443186300:to;node:1835513832:via
8153021,no_u_turn,way:443185837:from;way:443185840:to;node:4408092422:via
8153023,no_u_turn,way:573684430:from;way:573684445:to;way:573684429:via
8153024,no_u_turn,way:573684432:from;way:33233165:to;way:573684429:via
8153028,no_u_turn,way:172669551:from;way:443185835:to;node:1169433332:via
8153032,no_u_turn,way:443185833:from;way:443185832:to;node:1835513830:via
8153036,no_u_turn,way:573684446:from;way:443185836:to;node:2676310384:via
17719978,no_u_turn,way:758270553:from;way:758270552:via;way:758270551:to
17719979,no_u_turn,way:758270552:from;way:758270551:via;way:758270554:to
17719980,no_u_turn,way:758270554:from;way:758270553:via;way:758270552:to
17719981,no_u_turn,way:758270551:from;way:758270554:via;way:758270553:to
17719982,no_left_turn,way:33233175:from;way:714680370:to;node:2670906168:via
17731811,no_u_turn,way:1293396899:from;way:952324009:to;node:8814524816:via
17731812,no_left_turn,way:1293396899:from;way:261470907:to;node:287289281:via
17731813,no_u_turn,way:443187026:from;way:480999467:via;way:1301238036:to
17731814,no_u_turn,way:1088057650:from;way:1088057649:to;node:6968079042:via
8153034,no_u_turn,way:1324584302:to;way:573684441:via;way:1324584303:from
4666441,no_u_turn,way:31545083:from;way:332381294:to;node:352988932:via
8128970,no_u_turn,way:36925956:from;way:1388104374:via;way:3455466:to
8128975,no_u_turn,way:480999466:from;way:261470907:to;way:480999467:via
8129118,no_u_turn,way:571101164:from;way:480999466:to;node:4408102644:via
11522372,only_straight_on,way:304795290:from;way:172709857:to;node:7593205021:via
4666439,no_u_turn,way:172654690:from;node:352988923:via;way:1132934613:to
17731801,no_u_turn,way:1088068627:from;way:1088068626:to;node:9969217656:via
17731802,no_u_turn,way:834075019:from;way:834075018:to;node:7786092872:via
19326426,no_right_turn,way:1412691326:from;way:666661921:to;node:6241808239:via
19326427,no_u_turn,way:172654732:from;node:1835374997:via;way:1412691326:to
19326429,no_u_turn,way:666661921:from;way:172654732:to;node:1835375001:via
11576419,no_u_turn,way:1292789337:from;way:843768560:via;way:1292789340:to
17723362,no_u_turn,way:843768573:from;way:1292789337:via;way:843768560:to
17723363,no_u_turn,way:1292789340:from;way:843768573:via;way:1292789337:to
17723364,no_u_turn,way:843768569:from;way:834075037:to;node:17088010:via
17723361,no_left_turn,way:1292789339:from;way:834097849:to;node:7871009806:via
17723296,no_u_turn,way:834097860:from;way:35680048:via;way:834075032:to
17723297,no_u_turn,way:834075036:from;way:35680048:via;way:834097867:to
17723365,no_u_turn,way:843772200:from;way:843768559:to;node:1835869014:via
8173393,no_u_turn,way:1324584308:from;way:1324584309:to;way:575698601:via
8173399,no_u_turn,way:1324584306:from;way:1324584307:to;way:575698601:via
8173447,no_u_turn,way:172654693:from;node:1835375388:via;way:575699264:to
8173450,no_u_turn,way:1110929842:from;node:1835375448:via;way:1110929843:to
15796034,only_straight_on,way:1167848605:from;node:10164520649:via;way:262203990:to
15796035,only_straight_on,way:172654695:from;node:10164520649:via;way:1167848604:to
15796036,no_u_turn,way:1167848603:from;node:1835375425:via;way:1167848605:to
15796037,no_u_turn,way:1167848604:from;node:10164520640:via;way:1167848603:to
8173387,no_u_turn,way:1102827308:from;way:1087907500:via;way:1102827309:to
8173391,no_u_turn,way:1102827309:from;way:1087907501:via;way:1102827308:to
17731807,no_u_turn,way:1087907501:from;way:1102827308:via;way:1087907500:to
17731808,no_u_turn,way:1087907500:from;way:1102827309:via;way:1087907501:to
17731809,no_u_turn,way:575699362:from;way:1087907497:to;node:414566672:via
17731810,no_u_turn,way:1087907499:from;way:1087907498:to;node:6241808194:via
8173453,only_straight_on,way:36926173:from;node:429413827:via;way:714680362:to
19326428,no_right_turn,way:1388104374:from;way:172654683:to;node:17088957:via
3517552,only_straight_on,way:261971620:from;way:261971621:to;node:2676216701:via
8096765,no_u_turn,way:1101646708:from;way:1101646706:via;way:1101646707:to
8173523,only_straight_on,way:575701093:from;way:575701094:to;node:5523652330:via
8173524,only_right_turn,way:261971621:from;way:542394744:to;node:2676216700:via
19151066,no_right_turn,way:172654685:from;node:12849738713:via;way:1388104374:to
14253719,no_u_turn,way:714680365:from;way:415393752:via;way:685799562:to
17731846,no_u_turn,way:714680366:from;way:415393752:via;way:714680364:to
19331023,no_u_turn,way:786121733:from;way:415393753:to;node:276583007:via
8211250,no_u_turn,way:1324584312:from;way:980000714:via;way:1324584311:to
11522376,no_u_turn,way:980000714:via;way:580160632:to;way:980427494:from
17719753,no_u_turn,way:161264668:from;way:415283779:via;way:415283778:to
17719754,no_left_turn,way:161264668:from;way:161270324:to;node:1732502973:via
4666442,no_u_turn,way:164050694:from;way:332381292:to;node:1757115999:via
4666443,no_u_turn,way:164050697:from;way:24056118:to;node:260947869:via
8211244,no_left_turn,way:580160621:from;way:1322351353:to;node:414556106:via
8096747,no_u_turn,way:261971873:from;node:25943205:via;way:1108467910:to
8153478,no_u_turn,way:261971872:from;way:1101646705:via;way:1108467909:to
8181503,no_u_turn,way:169083313:from;way:441659942:to;node:446869862:via
8112496,no_u_turn,way:1237733717:from;way:1237733716:to;node:286621108:via
8112572,no_u_turn,way:161270328:from;way:161270319:to;node:1732592728:via
8211243,no_u_turn,way:580160620:from;way:580160619:to;way:415283779:via
5474483,no_right_turn,way:260876896:from;way:173567155:to;node:246010634:via
11524281,only_straight_on,way:568383857:from;way:260876896:to;node:470347882:via
8109811,no_right_turn,way:418259540:from;way:291093103:to;node:2945421270:via
8154305,no_u_turn,way:1324599308:from;way:1324599313:to;node:286621732:via
3502663,only_left_turn,way:260288981:from;node:246010651:via;way:1324599311:to
3866222,no_left_turn,way:291023335:from;node:2944871499:via;way:440110601:to
8112497,no_u_turn,way:415283777:from;way:317014171:to;node:3232218177:via
8130278,no_u_turn,way:571286002:from;way:170832356:via;way:418259531:to
10601087,no_u_turn,way:669260900:from;node:1843582599:via;way:669260902:to
10601088,no_u_turn,way:369017624:from;node:3232218166:via;way:764325202:to
17719757,no_left_turn,way:669260900:from;way:764325202:to;node:1843582599:via
18459471,no_u_turn,way:173097103:from;way:173097102:to;node:1839259857:via
18459472,no_u_turn,way:173097131:from;way:173097108:to;node:1839259800:via
18459473,no_u_turn,way:933277144:from;way:933277143:to;node:8650924579:via
18459474,no_u_turn,way:1345638280:from;way:1345638281:to;node:1839259725:via
18459475,no_right_turn,way:173097102:from;way:933277149:to;node:1839259796:via
18459476,no_right_turn,way:1345638281:from;node:12448046971:via;way:1345638276:to
18459477,no_right_turn,way:933277143:from;node:8650924618:via;way:1345638279:to
18459478,no_right_turn,way:173097108:from;node:1839259731:via;way:1345638277:to
