Year_Month,Card_type,Contract_region,Trip
Feb-2025,Senior/Pensioner,NISC 1,84897
Feb-2026,Adult,NISC 1,23333
Feb-2026,CTP,NISC 1,48885
Feb-2026,Child/Youth,NISC 1,1979
Feb-2026,Concession,NISC 1,4804
Feb-2026,Day Pass without SAF,NISC 1,18
Feb-2026,Employee,NISC 1,703
Feb-2026,Free Travel,NISC 1,324
Feb-2026,On Demand,NISC 1,2810
Feb-2026,School Student,NISC 1,1495
Feb-2026,Senior/Pensioner,NISC 1,24758
Jan-2024,Adult,NISC 1,65368
Jan-2024,CTP,NISC 1,90031
Jan-2024,Child/Youth,NISC 1,13171
Jan-2024,Concession,NISC 1,8747
Jan-2024,Day Pass without SAF,NISC 1,72
Jan-2024,Employee,NISC 1,1326
Jan-2024,Free Travel,NISC 1,778
Jan-2024,On Demand,NISC 1,4555
Jan-2024,School Student,NISC 1,290
Jan-2024,Senior/Pensioner,NISC 1,86677
Jan-2025,Adult,NISC 1,60705
Jan-2025,CTP,NISC 1,88990
Jan-2025,Child/Youth,NISC 1,9277
Jan-2025,Concession,NISC 1,7495
Jan-2025,Day Pass without SAF,NISC 1,36
Jan-2025,Employee,NISC 1,1618
Jan-2025,Free Travel,NISC 1,820
Jan-2025,School Student,NISC 1,75
Jan-2025,Senior/Pensioner,NISC 1,81420
Jan-2026,Adult,NISC 1,20676
Jan-2026,CTP,NISC 1,42233
Jan-2026,Child/Youth,NISC 1,2723
Jan-2026,Concession,NISC 1,2972
Jan-2026,Day Pass without SAF,NISC 1,6
Jan-2026,Employee,NISC 1,657
Jan-2026,Free Travel,NISC 1,358
Jan-2026,On Demand,NISC 1,3607
Jan-2026,School Student,NISC 1,37
Jan-2026,Senior/Pensioner,NISC 1,24132
Jan-2026,UNKNOWN,NISC 1,2
Jul-2024,Adult,NISC 1,69891
Jul-2024,CTP,NISC 1,99204
Jul-2024,Child/Youth,NISC 1,9699
Jul-2024,Concession,NISC 1,12057
Jul-2024,Day Pass without SAF,NISC 1,64
Jul-2024,Employee,NISC 1,1628
Jul-2024,Free Travel,NISC 1,949
Jul-2024,On Demand,NISC 1,3861
Jul-2024,School Student,NISC 1,4833
Jul-2024,Senior/Pensioner,NISC 1,87638
Jul-2025,Adult,NISC 1,15438
Jul-2025,CTP,NISC 1,27959
Jul-2025,Child/Youth,NISC 1,1688
Jul-2025,Concession,NISC 1,2413
Jul-2025,Day Pass without SAF,NISC 1,3
Jul-2025,Employee,NISC 1,447
Jul-2025,Free Travel,NISC 1,189
Jul-2025,On Demand,NISC 1,3825
Jul-2025,School Student,NISC 1,589
Jul-2025,Senior/Pensioner,NISC 1,16339
Jun-2024,Adult,NISC 1,63484
Jun-2024,CTP,NISC 1,84624
Jun-2024,Child/Youth,NISC 1,7123
Jun-2024,Concession,NISC 1,11198
Jun-2024,Day Pass Child/Youth w/o SAF,NISC 1,3
Jun-2024,Day Pass without SAF,NISC 1,93
Jun-2024,Employee,NISC 1,1584
Jun-2024,Free Travel,NISC 1,830
Jun-2024,On Demand,NISC 1,3193
Jun-2024,School Student,NISC 1,8993
Jun-2024,Senior/Pensioner,NISC 1,79968
Jun-2025,Adult,NISC 1,12878
Jun-2025,CTP,NISC 1,23167
Jun-2025,Child/Youth,NISC 1,1046
Jun-2025,Concession,NISC 1,2004
Jun-2025,Day Pass without SAF,NISC 1,5
Jun-2025,Employee,NISC 1,405
Jun-2025,Free Travel,NISC 1,162
Jun-2025,On Demand,NISC 1,3425
Jun-2025,School Student,NISC 1,984
Jun-2025,Senior/Pensioner,NISC 1,14985
Jun-2026,Adult,NISC 1,44123
Jun-2026,CTP,NISC 1,95920
Jun-2026,Child/Youth,NISC 1,3665
Jun-2026,Concession,NISC 1,6932
Jun-2026,Day Pass without SAF,NISC 1,26
Jun-2026,Employee,NISC 1,1788
Jun-2026,Free Travel,NISC 1,663
Jun-2026,School Student,NISC 1,2292
Jun-2026,Senior/Pensioner,NISC 1,67207
Mar-2024,Adult,NISC 1,76435
Mar-2024,CTP,NISC 1,102449
Mar-2024,Child/Youth,NISC 1,9097
Mar-2024,Concession,NISC 1,15982
Mar-2024,Day Pass Child/Youth w/o SAF,NISC 1,2
Mar-2024,Day Pass without SAF,NISC 1,61
Mar-2024,Employee,NISC 1,1243
Mar-2024,Free Travel,NISC 1,950
Mar-2024,On Demand,NISC 1,2034
Mar-2024,School Student,NISC 1,12624
Mar-2024,Senior/Pensioner,NISC 1,87433
Mar-2024,UNKNOWN,NISC 1,1
Mar-2025,Adult,NISC 1,74776
Mar-2025,CTP,NISC 1,119846
Mar-2025,Child/Youth,NISC 1,7353
Mar-2025,Concession,NISC 1,16008
Mar-2025,Day Pass Child/Youth w/o SAF,NISC 1,34
Mar-2025,Day Pass without SAF,NISC 1,57
Mar-2025,Employee,NISC 1,1938
Mar-2025,Free Travel,NISC 1,1072
Mar-2025,School Student,NISC 1,10528
Mar-2025,Senior/Pensioner,NISC 1,88158
Mar-2026,Adult,NISC 1,26630
Mar-2026,CTP,NISC 1,56795
Mar-2026,Child/Youth,NISC 1,2306
Mar-2026,Concession,NISC 1,5712
Mar-2026,Day Pass without SAF,NISC 1,8
Mar-2026,Employee,NISC 1,969
Mar-2026,Free Travel,NISC 1,364
Mar-2026,On Demand,NISC 1,3016
Mar-2026,School Student,NISC 1,1425
Mar-2026,Senior/Pensioner,NISC 1,31498
May-2024,Adult,NISC 1,72911
May-2024,CTP,NISC 1,98440
May-2024,Child/Youth,NISC 1,7899
May-2024,Concession,NISC 1,16883
May-2024,Day Pass Child/Youth w/o SAF,NISC 1,2
May-2024,Day Pass without SAF,NISC 1,62
May-2024,Employee,NISC 1,1785
May-2024,Free Travel,NISC 1,883
May-2024,On Demand,NISC 1,3165
May-2024,School Student,NISC 1,11604
May-2024,Senior/Pensioner,NISC 1,87939
May-2025,Adult,NISC 1,7333
May-2025,CTP,NISC 1,12997
May-2025,Child/Youth,NISC 1,592
May-2025,Concession,NISC 1,1615
May-2025,Day Pass without SAF,NISC 1,6
May-2025,Employee,NISC 1,190
May-2025,Free Travel,NISC 1,98
May-2025,On Demand,NISC 1,3394
May-2025,School Student,NISC 1,623
May-2025,Senior/Pensioner,NISC 1,7607
May-2026,Adult,NISC 1,44638
May-2026,CTP,NISC 1,98284
May-2026,Child/Youth,NISC 1,3965
May-2026,Concession,NISC 1,7332
May-2026,Day Pass without SAF,NISC 1,28
May-2026,Employee,NISC 1,1889
May-2026,Free Travel,NISC 1,756
May-2026,On Demand,NISC 1,3221
May-2026,School Student,NISC 1,2505
May-2026,Senior/Pensioner,NISC 1,64338
Nov-2024,Adult,NISC 1,68769
Nov-2024,CTP,NISC 1,100031
Nov-2024,Child/Youth,NISC 1,7671
Nov-2024,Concession,NISC 1,10760
Nov-2024,Day Pass Child/Youth w/o SAF,NISC 1,1
Nov-2024,Day Pass without SAF,NISC 1,27
Nov-2024,Employee,NISC 1,1868
Nov-2024,Free Travel,NISC 1,988
Nov-2024,School Student,NISC 1,7289
Nov-2024,Senior/Pensioner,NISC 1,89367
Nov-2025,Adult,NISC 1,17454
Nov-2025,CTP,NISC 1,36212
Nov-2025,Child/Youth,NISC 1,1602
Nov-2025,Concession,NISC 1,2894
Nov-2025,Day Pass without SAF,NISC 1,7
Nov-2025,Employee,NISC 1,590
Nov-2025,Free Travel,NISC 1,269
Nov-2025,School Student,NISC 1,880
Nov-2025,Senior/Pensioner,NISC 1,21966
Oct-2024,Adult,NISC 1,70593
Oct-2024,CTP,NISC 1,100688
Oct-2024,Child/Youth,NISC 1,9085
Oct-2024,Concession,NISC 1,13303
Oct-2024,Day Pass Child/Youth w/o SAF,NISC 1,1
Oct-2024,Day Pass without SAF,NISC 1,47
Oct-2024,Employee,NISC 1,1839
Oct-2024,Free Travel,NISC 1,1025
Oct-2024,School Student,NISC 1,5490
Oct-2024,Senior/Pensioner,NISC 1,90060
Oct-2025,Adult,NISC 1,19110
Oct-2025,CTP,NISC 1,36683
Oct-2025,Child/Youth,NISC 1,1976
Oct-2025,Concession,NISC 1,3621
Oct-2025,Day Pass without SAF,NISC 1,13
Oct-2025,Employee,NISC 1,639
Oct-2025,Free Travel,NISC 1,253
Oct-2025,On Demand,NISC 1,3561
Oct-2025,School Student,NISC 1,673
Oct-2025,Senior/Pensioner,NISC 1,22221
Sep-2024,Adult,NISC 1,68568
Sep-2024,CTP,NISC 1,97559
Sep-2024,Child/Youth,NISC 1,7286
Sep-2024,Concession,NISC 1,14723
Sep-2024,Day Pass Child/Youth w/o SAF,NISC 1,6
Sep-2024,Day Pass without SAF,NISC 1,53
Sep-2024,Employee,NISC 1,1665
Sep-2024,Free Travel,NISC 1,877
Sep-2024,School Student,NISC 1,8330
Sep-2024,Senior/Pensioner,NISC 1,87639
Sep-2025,Adult,NISC 1,17181
Sep-2025,CTP,NISC 1,31500
Sep-2025,Child/Youth,NISC 1,1487
Sep-2025,Concession,NISC 1,3419
Sep-2025,Day Pass without SAF,NISC 1,11
Sep-2025,Employee,NISC 1,466
Sep-2025,Free Travel,NISC 1,214
Sep-2025,On Demand,NISC 1,3184
Sep-2025,School Student,NISC 1,844
Sep-2025,Senior/Pensioner,NISC 1,18873
