SA1_CODE21,zone_tier,lga_name,lga_code
10601111207,external,Singleton,17000
10601111208,external,Singleton,17000
10601111209,external,Singleton,17000
10601111210,external,Singleton,17000
10601111211,external,Singleton,17000
10601111213,external,Singleton,17000
10601111214,external,Singleton,17000
10601111215,external,Singleton,17000
10601111216,external,Singleton,17000
10601111217,external,Singleton,17000
10601111218,external,Singleton,17000
10601111219,external,Singleton,17000
10601111220,external,Singleton,17000
10601111221,external,Singleton,17000
10601111222,external,Singleton,17000
10601111223,external,Singleton,17000
10601111224,external,Singleton,17000
10601111225,external,Singleton,17000
10601111226,external,Singleton,17000
10601111227,external,Singleton,17000
10601111228,external,Singleton,17000
10601111229,external,Singleton,17000
10601111230,external,Singleton,17000
10601111231,external,Singleton,17000
10601111232,external,Singleton,17000
10601111233,external,Singleton,17000
10601111234,external,Singleton,17000
10601111235,external,Singleton,17000
10601111237,external,Singleton,17000
10601111238,external,Singleton,17000
10601111240,external,Singleton,17000
10601111241,external,Singleton,17000
10601111242,external,Singleton,17000
10601111244,external,Singleton,17000
10601111245,external,Singleton,17000
10601111246,external,Singleton,17000
10601111247,external,Singleton,17000
10601111248,external,Singleton,17000
10601111249,external,Singleton,17000
10601111250,external,Singleton,17000
10601111251,external,Singleton,17000
10601111301,external,Singleton,17000
10601111302,external,Singleton,17000
10601111303,external,Singleton,17000
10601111304,external,Singleton,17000
10601111305,external,Singleton,17000
10601111306,external,Singleton,17000
10601111307,external,Singleton,17000
10601111308,external,Singleton,17000
10601111309,external,Singleton,17000
10601111310,external,Singleton,17000
10601111311,external,Singleton,17000
10601111312,external,Singleton,17000
10601111313,external,Singleton,17000
10601111314,external,Singleton,17000
10601111315,external,Singleton,17000
10602111401,core,Maitland,15050
10602111402,core,Maitland,15050
10602111403,core,Maitland,15050
10602111408,core,Maitland,15050
10602111409,core,Maitland,15050
10602111410,core,Maitland,15050
10602111411,core,Maitland,15050
10602111412,core,Maitland,15050
10602111415,core,Maitland,15050
10602111416,core,Maitland,15050
10602111417,core,Maitland,15050
10602111418,core,Maitland,15050
10602111419,core,Maitland,15050
10602111420,core,Maitland,15050
10602111421,core,Maitland,15050
10602111422,core,Maitland,15050
10602111423,core,Maitland,15050
10602111424,core,Maitland,15050
10602111425,core,Maitland,15050
10602111426,core,Maitland,15050
10602111601,core,Maitland,15050
10602111602,core,Maitland,15050
10602111603,core,Maitland,15050
10602111604,core,Maitland,15050
10602111605,core,Maitland,15050
10602111606,core,Maitland,15050
10602111607,core,Maitland,15050
10602111608,core,Maitland,15050
10602111609,core,Maitland,15050
10602111610,core,Maitland,15050
10602111611,core,Maitland,15050
10602111612,core,Maitland,15050
10602111613,core,Maitland,15050
10602111614,core,Maitland,15050
10602111615,core,Maitland,15050
10602111617,core,Maitland,15050
10602111618,core,Maitland,15050
10602161401,core,Maitland,15050
10602161402,core,Maitland,15050
10602161403,core,Maitland,15050
10602161404,core,Maitland,15050
10602161405,core,Maitland,15050
10602161406,core,Maitland,15050
10602161407,core,Maitland,15050
10602161408,core,Maitland,15050
10602161409,core,Maitland,15050
10602161410,core,Maitland,15050
10602161411,core,Maitland,15050
10602161412,core,Maitland,15050
10602161413,core,Maitland,15050
10602161414,core,Maitland,15050
10602161415,core,Maitland,15050
10602161416,core,Maitland,15050
10602161417,core,Maitland,15050
10602161418,core,Maitland,15050
10602161419,core,Maitland,15050
10602161420,core,Maitland,15050
10602161421,core,Maitland,15050
10602161422,core,Maitland,15050
10602161423,core,Maitland,15050
10602161424,core,Maitland,15050
10602161425,core,Maitland,15050
10602161426,core,Maitland,15050
10602161427,core,Maitland,15050
10602161428,core,Maitland,15050
10602161429,core,Maitland,15050
10602161430,core,Maitland,15050
10602161431,core,Maitland,15050
10602161432,core,Maitland,15050
10602161433,core,Maitland,15050
10602161434,core,Maitland,15050
10602161435,core,Maitland,15050
10602161436,core,Maitland,15050
10602161437,core,Maitland,15050
10602161438,core,Maitland,15050
10602161439,core,Maitland,15050
10602161440,core,Maitland,15050
10602161441,core,Maitland,15050
10602161442,core,Maitland,15050
10602161443,core,Maitland,15050
10602161444,core,Maitland,15050
10602161445,core,Maitland,15050
10602161446,core,Maitland,15050
10602161447,core,Maitland,15050
10602161448,core,Maitland,15050
10602161449,core,Maitland,15050
10602161501,core,Maitland,15050
10602161502,core,Maitland,15050
10602161503,core,Maitland,15050
10602161504,core,Maitland,15050
10602161505,core,Maitland,15050
10602161506,core,Maitland,15050
10602161507,core,Maitland,15050
10602161508,core,Maitland,15050
10602161509,core,Maitland,15050
10602161510,core,Maitland,15050
10602161511,core,Maitland,15050
10602161512,core,Maitland,15050
10602161513,core,Maitland,15050
10602161514,core,Maitland,15050
10602161515,core,Maitland,15050
10602161516,core,Maitland,15050
10602161517,core,Maitland,15050
10602161518,core,Maitland,15050
10602161519,core,Maitland,15050
10602161520,core,Maitland,15050
10602161521,core,Maitland,15050
10602161522,core,Maitland,15050
10602161523,core,Maitland,15050
10602161524,core,Maitland,15050
10602161525,core,Maitland,15050
10602161526,core,Maitland,15050
10602161527,core,Maitland,15050
10602161528,core,Maitland,15050
10602161529,core,Maitland,15050
10602161530,core,Maitland,15050
10602161531,core,Maitland,15050
10602161532,core,Maitland,15050
10602161533,core,Maitland,15050
10602161534,core,Maitland,15050
10602161535,core,Maitland,15050
10602161536,core,Maitland,15050
10602161537,core,Maitland,15050
10602161538,core,Maitland,15050
10602161539,core,Maitland,15050
10602161601,core,Maitland,15050
10602161602,core,Maitland,15050
10602161603,core,Maitland,15050
10602161604,core,Maitland,15050
10602161605,core,Maitland,15050
10602161606,core,Maitland,15050
10602161607,core,Maitland,15050
10602161608,core,Maitland,15050
10602161609,core,Maitland,15050
10602161610,core,Maitland,15050
10602161611,core,Maitland,15050
10602161612,core,Maitland,15050
10602161613,core,Maitland,15050
10602161614,core,Maitland,15050
10602161615,core,Maitland,15050
10602161616,core,Maitland,15050
10602161617,core,Maitland,15050
10602161618,core,Maitland,15050
10602161619,core,Maitland,15050
10602161620,core,Maitland,15050
10602161701,core,Maitland,15050
10602161702,core,Maitland,15050
10602161703,core,Maitland,15050
10602161704,core,Maitland,15050
10602161705,core,Maitland,15050
10602161706,core,Maitland,15050
10602161707,core,Maitland,15050
10602161708,core,Maitland,15050
10602161709,core,Maitland,15050
10602161710,core,Maitland,15050
10602161711,core,Maitland,15050
10602161712,core,Maitland,15050
10602161713,core,Maitland,15050
10602161714,core,Maitland,15050
10602161715,core,Maitland,15050
10602161716,core,Maitland,15050
10602161717,core,Maitland,15050
10602161718,core,Maitland,15050
10602161719,core,Maitland,15050
10602161720,core,Maitland,15050
10602161721,core,Maitland,15050
10602161722,core,Maitland,15050
10602161723,core,Maitland,15050
10602161801,core,Maitland,15050
10602161802,core,Maitland,15050
10602161803,core,Maitland,15050
10602161804,core,Maitland,15050
10602161805,core,Maitland,15050
10602161806,core,Maitland,15050
10602161807,core,Maitland,15050
10602161808,core,Maitland,15050
10602161809,core,Maitland,15050
10602161810,core,Maitland,15050
10602161811,core,Maitland,15050
10602161812,core,Maitland,15050
10602161813,core,Maitland,15050
