SA1_CODE21,CHG_FLAG21,CHG_LBL21,SA2_CODE21,SA2_NAME21,SA3_CODE21,SA3_NAME21,SA4_CODE21,SA4_NAME21,GCC_CODE21,GCC_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,area_km2,x_mga56,y_mga56,lon,lat,zone_tier,zone_id
10601110722,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,1.0679,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110722,1.0676,345019.7,6385616.8,151.3474389,-32.6562244,core,10601110722
10601110723,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,1.0876,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110723,1.0874,349352.5,6381937.5,151.3930302,-32.690001,core,10601110723
10601110725,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1756,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110725,0.1755,346808.4,6385934.5,151.3665573,-32.653609,core,10601110725
10601110726,0,No change,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1194,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110726,0.1193,347279.0,6385999.6,151.3715843,-32.6530874,core,10601110726
10601110727,1,New,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,1.6911,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110727,1.6907,346484.7,6383000.6,151.3626241,-32.6800193,core,10601110727
10601110728,1,New,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,28.2149,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110728,28.2095,346231.0,6377631.5,151.3590332,-32.7283979,core,10601110728
10601110729,1,New,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.2617,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110729,0.2617,345593.2,6383241.4,151.3531596,-32.6777239,core,10601110729
10601110730,1,New,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,9.8592,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110730,9.8573,343189.1,6374409.1,151.3260404,-32.7570247,core,10601110730
10601110731,1,New,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,24.8381,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110731,24.8329,344783.5,6381809.9,151.3442885,-32.6905182,core,10601110731
10601110732,1,New,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,1.0654,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110732,1.0651,345722.8,6383935.9,151.3546554,-32.6714795,core,10601110732
10601110733,1,New,106011107,Branxton - Greta - Pokolbin,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,1.568,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110733,1.5678,342814.5,6377113.5,151.3225,-32.7325859,core,10601110733
10601110801,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.2345,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110801,0.2345,345267.8,6365787.2,151.3467834,-32.8350622,core,10601110801
10601110806,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1427,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110806,0.1427,344852.9,6366442.7,151.342462,-32.8290935,core,10601110806
10601110807,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.3883,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110807,0.3883,346185.5,6364608.5,151.3563893,-32.8458192,core,10601110807
10601110808,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.376,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110808,0.3759,346986.9,6365229.0,151.3650527,-32.8403372,core,10601110808
10601110809,0,No change,106011108,Cessnock,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,0.1746,http://linked.data.gov.au/dataset/asgsed3/SA1/10601110809,0.1746,347341.6,6365253.2,151.3688447,-32.8401683,core,10601110809
