poi_id,lat,lon,category,category_group,attraction_weight,name,brand,opening_hours,levels,in_cbd,year,weight_source
w815669564,-32.9415078,151.6601691,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w817406758,-32.9402239,151.6599759,retail:hairdresser,retail,1.0,,,,2,0,2026,assumed
w817406760,-32.9401229,151.659989,retail:hairdresser,retail,1.0,,,,,0,2026,assumed
w817406761,-32.9401692,151.6599782,retail:florist,retail,1.0,,,,,0,2026,assumed
w817406763,-32.9400462,151.6600088,office:estate_agent,office,0.8,,,,2,0,2026,assumed
w817406764,-32.9400216,151.6599421,retail:beauty,retail,1.0,,,,2,0,2026,assumed
w827225352,-32.9391588,151.6579921,retail:car,retail,1.0,,,,,0,2026,assumed
w827225355,-32.9390697,151.6581504,retail:car,retail,1.0,,,,,0,2026,assumed
w827225357,-32.9392046,151.6583083,amenity:parking,amenity,0.4,,,,,0,2026,assumed
w827225359,-32.93905,151.6583091,amenity:parking,amenity,0.4,,,,,0,2026,assumed
w827261972,-32.93932,151.65818,office:estate_agent,office,0.8,,,,,0,2026,assumed
w827261973,-32.9393441,151.6583051,retail:hairdresser,retail,1.0,,,,,0,2026,assumed
w827261974,-32.9393098,151.6582998,retail:frame,retail,1.0,,,,,0,2026,assumed
w827261975,-32.9393595,151.658273,retail:charity,retail,1.0,,,,,0,2026,assumed
w827261976,-32.9392102,151.6581807,retail:car,retail,1.0,,,,,0,2026,assumed
w827261985,-32.939253,151.6582993,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w827525342,-32.9386927,151.6579001,amenity:parking,amenity,0.4,,,,,0,2026,assumed
w827525343,-32.9386186,151.6577442,leisure:garden,leisure,0.9,,,,,0,2026,assumed
w827525345,-32.9386889,151.6578391,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w827525346,-32.938733,151.6578311,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w827525347,-32.9384983,151.6578122,leisure:garden,leisure,0.9,,,,,0,2026,assumed
w827525348,-32.9386061,151.6578522,leisure:garden,leisure,0.9,,,,,0,2026,assumed
w827525349,-32.9387702,151.6578431,leisure:garden,leisure,0.9,,,,,0,2026,assumed
w827555065,-32.9389289,151.6583613,amenity:reception_desk,amenity,0.4,,,,,0,2026,assumed
w827932603,-32.9388786,151.6581469,health:counselling,health,1.0,CatholicCare Cardiff,,,,0,2026,assumed
w828014583,-32.9387638,151.6581604,amenity:childcare,amenity,0.4,St Nicholas Early Education Cardiff,,,,0,2026,assumed
w828132353,-32.9387568,151.6576838,leisure:garden,leisure,0.9,,,,,0,2026,assumed
w828132354,-32.9382808,151.6574841,leisure:garden,leisure,0.9,,,,,0,2026,assumed
w828132362,-32.9382702,151.6576866,amenity:parking,amenity,0.4,,,,,0,2026,assumed
w828311021,-32.938536,151.6579318,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311024,-32.9385194,151.657901,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311025,-32.9385156,151.6578725,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311026,-32.9385118,151.6578443,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311027,-32.9385083,151.657816,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311028,-32.9385047,151.6577876,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311029,-32.938501,151.6577595,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311030,-32.9384975,151.6577315,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311031,-32.9384938,151.6577034,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311032,-32.9387565,151.6578266,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311034,-32.9385077,151.6575686,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311035,-32.9385305,151.657579,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311036,-32.9385531,151.6575895,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311037,-32.9385757,151.6576002,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311038,-32.9385984,151.6576108,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311039,-32.9386209,151.6576212,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311040,-32.9386437,151.6576316,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311041,-32.9386663,151.6576421,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311042,-32.938689,151.6576526,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311043,-32.9387084,151.657673,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311044,-32.9387345,151.6576737,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311045,-32.9387571,151.6576843,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311046,-32.9387798,151.6576948,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311047,-32.9388025,151.6577053,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311048,-32.9388251,151.6577159,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311049,-32.9388476,151.6577264,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311050,-32.9388701,151.6577372,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311051,-32.9388927,151.6577479,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311052,-32.9389165,151.6577617,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828311053,-32.938485,151.6575583,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331222,-32.9383762,151.6575083,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331223,-32.9383975,151.6575145,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331224,-32.9384183,151.6575207,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331225,-32.9383592,151.6575033,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331226,-32.938338,151.6574971,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331227,-32.9383182,151.6574881,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331228,-32.9382389,151.6574845,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331229,-32.9382616,151.6574814,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331230,-32.938215,151.6574879,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331231,-32.9381891,151.657488,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331232,-32.9381684,151.6575051,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331233,-32.938144,151.6575092,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331234,-32.9381194,151.6575129,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331235,-32.9380956,151.6575165,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331236,-32.9380718,151.6575198,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331237,-32.9381286,151.6576363,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331238,-32.9381059,151.6576407,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331239,-32.9381514,151.6576323,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331240,-32.9381744,151.6576287,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331241,-32.9381976,151.6576248,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331242,-32.9382207,151.6576203,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331243,-32.9382436,151.6576169,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331244,-32.9382664,151.6576135,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331245,-32.9382899,151.6576099,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331246,-32.9382972,151.6576624,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331247,-32.9383209,151.6576583,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331248,-32.9383459,151.657654,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331249,-32.938371,151.6576496,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331250,-32.9382738,151.6576664,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331251,-32.9382506,151.6576698,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331252,-32.9382322,151.6576725,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331253,-32.9382091,151.6576763,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331254,-32.9381862,151.6576803,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331255,-32.938163,151.657684,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331256,-32.9381401,151.6576879,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331257,-32.9381175,151.6576922,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331258,-32.9380945,151.6576964,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331259,-32.9380893,151.6576548,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331260,-32.9381283,151.6578191,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331261,-32.9381358,151.6578725,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331262,-32.9381506,151.6578143,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331263,-32.9381582,151.6578676,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331264,-32.9381731,151.6578098,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331265,-32.9381956,151.6578056,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331266,-32.9382032,151.657859,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331267,-32.9381806,151.6578632,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331268,-32.9382182,151.6578011,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331269,-32.9382407,151.6577965,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331270,-32.9382631,151.6577921,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331271,-32.9382857,151.6577879,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331272,-32.9382932,151.6578412,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331273,-32.9382482,151.6578499,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331274,-32.9382707,151.6578455,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331275,-32.9382258,151.6578547,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331276,-32.9383084,151.6577834,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331277,-32.9384215,151.6577615,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331278,-32.9384439,151.657757,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331279,-32.938429,151.6578148,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331280,-32.9384515,151.6578104,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331281,-32.9384065,151.6578193,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331282,-32.9383765,151.6577706,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331283,-32.9383989,151.6577659,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331284,-32.938384,151.6578239,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331285,-32.9383615,151.6578282,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
w828331286,-32.938339,151.6578326,amenity:parking_space,amenity,0.4,,,,,0,2026,assumed
