building_id,lat,lon,footprint_m2,levels,levels_source,gross_floor_area_m2,building_type,shop,amenity,name,year
b1208511654,-32.9153671,151.7225138,295.8,1,assumed,295.8,house,,,,2026
b1208511663,-32.9154117,151.7226932,129.3,1,assumed,129.3,house,,,,2026
b1208511665,-32.9154452,151.7226028,128.9,2,assumed,257.8,yes,,,,2026
b1208612677,-32.9154989,151.722832,128.0,1,assumed,128.0,house,,,,2026
b1208612678,-32.9154487,151.7228229,33.6,2,assumed,67.1,roof,,,,2026
b1208875683,-32.9153703,151.7233641,91.9,2,assumed,183.9,yes,,,,2026
b1208875685,-32.9154405,151.7234144,73.5,1,assumed,73.5,house,,,,2026
b1208875688,-32.9154677,151.723461,33.6,2,assumed,67.2,roof,,,,2026
b1208875690,-32.915475,151.7235501,122.0,1,assumed,122.0,house,,,,2026
b1208875692,-32.9154317,151.7236088,15.3,2,assumed,30.6,roof,,,,2026
b1208875696,-32.9154515,151.7237816,30.6,2,assumed,61.3,garage,,,,2026
b1208875700,-32.9154584,151.7238243,7.5,2,assumed,14.9,yes,,,,2026
b1208877499,-32.9160796,151.7223799,116.1,1,assumed,116.1,house,,,,2026
b1208877500,-32.9161316,151.7223675,15.2,2,assumed,30.5,roof,,,,2026
b1209531625,-32.9161783,151.7224913,183.6,1,assumed,183.6,house,,,,2026
b1209531627,-32.9162527,151.7224304,16.6,2,assumed,33.2,roof,,,,2026
b1209531681,-32.9166504,151.7224381,134.0,1,assumed,134.0,house,,,,2026
b1211745301,-32.9177208,151.7223804,639.6,2,assumed,1279.3,school,,,,2026
b1211745302,-32.9179657,151.7222234,631.9,2,assumed,1263.8,school,,,,2026
b1265277605,-32.908914,151.7219701,177.5,1,assumed,177.5,house,,,,2026
b1265277606,-32.9088803,151.722046,6.4,2,assumed,12.9,roof,,,,2026
b1265277607,-32.9089328,151.7222454,87.1,2,assumed,174.2,shed,,,,2026
b1265301943,-32.9121093,151.7289709,125.1,1,assumed,125.1,house,,,,2026
b1265309889,-32.9108359,151.7222581,324.8,1,assumed,324.8,house,,,,2026
b1265309897,-32.9104782,151.722386,195.6,1,assumed,195.6,house,,,,2026
b1265309899,-32.9105875,151.7223554,79.6,2,assumed,159.2,yes,,,,2026
b1265309900,-32.9107107,151.7223348,103.7,1,assumed,103.7,house,,,,2026
b1269262997,-32.9103976,151.7288996,257.7,1,assumed,257.7,house,,,,2026
b1269262998,-32.9105155,151.7289306,126.8,1,assumed,126.8,house,,,,2026
b1269263002,-32.9107394,151.7288941,292.1,4,assumed,1168.5,apartments,,,,2026
b1269265573,-32.9088883,151.7274222,217.8,1,assumed,217.8,house,,,,2026
b1269265575,-32.9088783,151.7276497,49.0,2,assumed,98.0,shed,,,,2026
b1269278022,-32.9089172,151.7241292,1475.5,2,assumed,2951.0,school,,,,2026
b1269303132,-32.9089519,151.7255209,1422.2,2,assumed,2844.5,residential,,,,2026
b1269303148,-32.9087779,151.7248424,1573.1,2,assumed,3146.1,residential,,,,2026
b1270709020,-32.9120133,151.7223463,27.5,2,assumed,55.0,roof,,,,2026
b1270709028,-32.9118435,151.7224225,16.5,2,assumed,33.0,shed,,,,2026
b1270709049,-32.9116805,151.7224053,32.4,2,assumed,64.8,garage,,,,2026
b1270709051,-32.9115263,151.7223755,48.0,2,assumed,96.1,garage,,,,2026
b1271514744,-32.9097864,151.7223566,112.2,1,assumed,112.2,house,,,,2026
b1271514750,-32.9096218,151.7224125,75.6,2,assumed,151.2,garage,,,,2026
b1271514751,-32.909518,151.7223953,52.5,2,assumed,104.9,garage,,,,2026
b1271514759,-32.9094026,151.7223934,5.2,2,assumed,10.5,shed,,,,2026
b1271514768,-32.9089691,151.7223798,90.3,1,assumed,90.3,house,,,,2026
b1271514773,-32.9088986,151.7227555,118.2,1,assumed,118.2,house,,,,2026
b1271514774,-32.9088842,151.7228179,7.6,2,assumed,15.2,roof,,,,2026
b1274674461,-32.9128405,151.7289299,26.9,2,assumed,53.8,yes,,,,2026
b1274674462,-32.9127527,151.7289707,40.0,2,assumed,80.0,shed,,,,2026
