SA1_CODE21,zone_tier,jobs,area_km2,jobs_per_km2,density_weight,price_aud_hr,price_sweep_low,price_sweep_high,price_source
10601110844,core,49.8,0.182,273.63,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110845,core,669.6,0.3063,2186.09,0.095042,0.3041,0.1521,0.4562,modelled_from_job_density
10601110847,core,135.0,0.4727,285.59,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110848,core,92.4,0.1557,593.45,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110850,core,0.0,0.2207,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110852,core,21.3,0.1302,163.59,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110855,core,2.8,0.1901,14.73,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110858,core,0.0,0.2067,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110859,core,22.7,0.4383,51.79,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110860,core,0.0,0.204,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110861,core,127.9,1.2873,99.36,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110862,core,4.3,5.4121,0.79,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110863,core,99.5,0.2566,387.76,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110864,core,729.3,4.8122,151.55,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110865,core,78.2,0.3631,215.37,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110866,core,186.2,0.8349,223.02,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110901,core,55.2,0.3318,166.37,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110902,core,10.0,0.8092,12.36,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110903,core,55.7,0.3614,154.12,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110904,core,10.5,0.2697,38.93,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110905,core,78.2,0.8964,87.24,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110906,core,135.4,68.2142,1.98,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110907,core,37.6,0.2698,139.36,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110908,core,56.2,0.706,79.6,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110909,core,30.6,0.3246,94.27,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110911,core,0.5,0.8489,0.59,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110912,core,65.2,55.6436,1.17,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110913,core,5.0,39.5108,0.13,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110914,core,148.9,41.8583,3.56,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110915,core,30.1,32.9901,0.91,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110916,core,218.1,154.7947,1.41,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110917,core,47.1,40.2865,1.17,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110918,core,0.5,149.0806,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110920,core,336.5,165.7261,2.03,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110921,core,100.3,483.2796,0.21,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110922,core,87.8,157.6349,0.56,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110924,core,0.0,0.8443,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110925,core,0.5,0.5578,0.9,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110926,core,3.0,0.2494,12.03,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110927,core,23.1,24.9315,0.93,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110928,core,0.0,0.6829,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110929,core,56.7,0.5032,112.68,0.0,0.0,0.0,0.0,modelled_from_job_density
10601110930,core,95.3,148.6936,0.64,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111001,external,0.0,1.2843,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111002,external,1341.8,1.033,1298.94,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111003,external,188.9,1.4551,129.82,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111004,external,0.0,0.8015,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111006,external,0.0,0.9075,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111007,external,0.0,0.9851,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111008,external,0.0,1.1396,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111009,external,0.0,0.2641,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111010,external,0.0,0.3105,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111011,external,21.4,91.9598,0.23,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111012,external,117.4,33.7273,3.48,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111013,external,10.2,87.7073,0.12,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111014,external,0.0,113.3152,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111015,external,0.0,123.841,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111016,external,0.0,600.3148,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111017,external,0.0,466.3743,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111018,external,0.0,170.9316,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111019,external,0.0,176.1123,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111020,external,0.0,115.1414,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111021,external,0.0,72.1129,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111022,external,0.0,1.0254,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111023,external,722.0,1.2787,564.64,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111024,external,5.1,31.9378,0.16,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111025,external,0.0,31.59,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111026,external,5.1,62.1032,0.08,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111027,external,0.0,59.4346,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111028,external,0.0,0.2601,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111029,external,0.0,1.8119,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111101,core,187.3,0.423,442.79,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111102,core,0.0,0.1463,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111103,core,25.0,0.1065,234.74,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111104,core,3.7,1.2543,2.95,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111105,core,68.7,0.267,257.3,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111106,core,0.0,0.3737,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111107,core,556.8,0.2112,2636.36,0.157497,0.504,0.252,0.756,modelled_from_job_density
10601111108,core,126.1,0.2591,486.68,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111109,core,18.7,0.17,110.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111110,core,138.6,0.2848,486.66,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111111,core,43.7,0.4657,93.84,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111112,core,2.5,1.5952,1.57,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111113,core,251.0,0.7354,341.31,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111114,core,107.4,0.3694,290.74,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111115,core,119.9,0.9055,132.41,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111116,core,112.4,0.7055,159.32,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111117,core,38.7,0.1561,247.92,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111118,core,43.7,0.1102,396.55,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111121,core,31.2,0.384,81.25,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111122,core,20.0,0.7432,26.91,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111123,core,193.5,0.2986,648.02,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111124,core,25.0,0.6478,38.59,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111125,core,67.4,2.3475,28.71,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111126,core,163.6,0.405,403.95,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111127,core,187.3,0.3215,582.58,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111128,core,0.0,0.207,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111129,core,12.5,0.3665,34.11,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111130,core,18.7,0.2711,68.98,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111131,core,393.3,0.2422,1623.86,0.017059,0.0546,0.0273,0.0819,modelled_from_job_density
10601111132,core,0.0,0.1709,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111133,core,25.0,0.1552,161.08,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111134,core,131.1,0.2206,594.29,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111135,core,25.0,0.1474,169.61,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111136,core,93.6,0.2113,442.97,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111137,core,56.2,7.993,7.03,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111138,core,0.0,0.1001,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111139,core,0.0,2.153,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111140,core,0.0,0.4383,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111141,core,7.5,2.0184,3.72,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111142,core,15.0,10.748,1.4,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111143,core,44.9,0.3426,131.06,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111144,core,101.1,0.1433,705.51,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111146,core,18.7,0.4922,37.99,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111147,core,219.7,42.1285,5.21,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111148,core,1.2,0.1978,6.07,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111149,core,37.5,0.3234,115.96,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111150,core,1.2,0.243,4.94,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111151,core,139.8,1.9345,72.27,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111152,core,0.0,0.3167,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111153,core,0.0,0.1589,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111154,core,3.7,0.3271,11.31,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111155,core,1.2,0.1976,6.07,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111156,core,12.5,0.1811,69.02,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111157,core,84.9,2.7133,31.29,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111158,core,1.2,0.2963,4.05,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111159,core,56.2,1.4617,38.45,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111201,external,0.0,0.2508,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111202,external,0.0,0.1561,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111203,external,479.8,0.4751,1009.89,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111204,external,106.2,0.2839,374.08,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111205,external,44.3,0.1637,270.62,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111206,external,258.5,0.1949,1326.32,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111207,external,318.7,0.21,1517.62,0.002322,0.0074,0.0037,0.0111,modelled_from_job_density
10601111208,external,35.4,0.1065,332.39,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111209,external,125.7,0.3078,408.38,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111210,external,185.9,46.5311,4.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111211,external,0.0,24.8188,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111213,external,708.1,0.3291,2151.63,0.090262,0.2888,0.1444,0.4333,modelled_from_job_density
10601111214,external,97.4,0.2951,330.06,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111215,external,3227.3,0.748,4314.57,0.390271,1.2489,0.6244,1.8733,modelled_from_job_density
10601111216,external,0.0,0.1204,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111217,external,0.0,0.2295,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111218,external,239.0,0.1769,1351.05,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111219,external,0.0,0.1805,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111220,external,28.3,7.7421,3.66,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111221,external,1.8,0.1313,13.71,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111222,external,26.6,0.2408,110.47,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111223,external,0.0,0.1555,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111224,external,0.0,1.7304,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111225,external,0.0,1.5962,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111226,external,0.0,1.4028,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111227,external,0.0,0.1799,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111228,external,141.6,1.3062,108.41,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111229,external,17.7,0.1334,132.68,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111230,external,123.9,0.2424,511.14,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111231,external,161.1,5.1204,31.46,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111232,external,1026.8,0.5254,1954.32,0.062895,0.2013,0.1006,0.3019,modelled_from_job_density
10601111233,external,111.5,0.9273,120.24,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111234,external,0.0,0.1588,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111235,external,0.0,0.1844,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111237,external,0.0,0.4392,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111238,external,0.0,0.1527,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111240,external,0.0,0.1595,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111241,external,0.0,0.2772,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111242,external,1198.5,0.3444,3479.97,0.274508,0.8784,0.4392,1.3176,modelled_from_job_density
10601111244,external,0.0,0.1491,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111245,external,0.0,0.2156,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111246,external,0.0,0.1025,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111247,external,0.0,0.1723,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111248,external,0.0,0.2295,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111249,external,0.0,0.1696,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111250,external,0.0,26.163,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111251,external,0.0,1.2907,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111301,external,3720.0,0.6408,5805.24,0.597034,1.9105,0.9553,2.8658,modelled_from_job_density
10601111302,external,1845.5,202.6877,9.11,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111303,external,915.5,351.3424,2.61,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111304,external,0.0,1423.2133,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111305,external,0.0,127.3456,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111306,external,0.0,423.6071,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111307,external,0.0,31.0315,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111308,external,0.0,328.2672,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111309,external,0.0,269.1053,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111310,external,0.0,268.8857,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111311,external,0.0,256.8246,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111312,external,145.3,71.2603,2.04,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111313,external,72.7,45.447,1.6,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111314,external,1453.1,106.0469,13.7,0.0,0.0,0.0,0.0,modelled_from_job_density
10601111315,external,0.0,161.8151,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111401,core,1331.0,0.8675,1534.29,0.004635,0.0148,0.0074,0.0222,modelled_from_job_density
10602111402,core,1250.7,2.2529,555.15,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111403,core,0.0,0.1029,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111408,core,535.1,1.0248,522.15,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111409,core,1259.5,0.7676,1640.83,0.019412,0.0621,0.0311,0.0932,modelled_from_job_density
10602111410,core,2167.7,0.4997,4338.0,0.393521,1.2593,0.6296,1.8889,modelled_from_job_density
10602111411,core,444.8,0.4561,975.22,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111412,core,63.9,0.4346,147.03,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111415,core,1.1,1.7375,0.63,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111416,core,1.1,0.2406,4.57,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111417,core,1.1,0.244,4.51,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111418,core,69.4,0.2339,296.71,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111419,core,0.0,9.6164,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111420,core,0.0,0.1742,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111421,core,122.2,0.6764,180.66,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111422,core,98.0,11.3448,8.64,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111423,core,433.8,0.274,1583.21,0.01142,0.0365,0.0183,0.0548,modelled_from_job_density
10602111424,core,62.8,0.6608,95.04,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111425,core,1.1,0.3819,2.88,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111426,core,0.0,0.0772,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111601,core,11.7,0.2443,47.89,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111602,core,4.7,1.4007,3.36,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111603,core,4.7,0.2403,19.56,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111604,core,0.0,0.3162,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111605,core,9.4,0.2472,38.03,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111606,core,16.4,0.776,21.13,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111607,core,126.6,0.1954,647.9,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111608,core,220.4,0.1931,1141.38,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111609,core,42.2,0.141,299.29,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111610,core,333.9,0.3913,853.31,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111611,core,131.3,0.135,972.59,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111612,core,32.8,0.603,54.39,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111613,core,108.3,0.8768,123.52,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111614,core,86.8,0.5115,169.7,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111615,core,65.7,19.4122,3.38,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111617,core,83.0,44.5968,1.86,0.0,0.0,0.0,0.0,modelled_from_job_density
10602111618,core,0.0,0.2409,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
10602161401,core,161.0,0.1442,1116.5,0.0,0.0,0.0,0.0,modelled_from_job_density
10602161402,core,48.0,0.2121,226.31,0.0,0.0,0.0,0.0,modelled_from_job_density
10602161403,core,185.5,0.2477,748.89,0.0,0.0,0.0,0.0,modelled_from_job_density
10602161404,core,22.6,0.9594,23.56,0.0,0.0,0.0,0.0,modelled_from_job_density
10602161405,core,459.4,0.2666,1723.18,0.030835,0.0987,0.0493,0.148,modelled_from_job_density
10602161406,core,0.0,0.1778,0.0,0.0,0.0,0.0,0.0,modelled_from_job_density
