SA1_CODE21,SA2_CODE21,SA2_NAME21,zone_tier,area_km2,x_mga56,y_mga56,lon,lat,population,dwellings_total,office,retail,food,civic,health,leisure,tourism,amenity,landuse,job_index,jobs_sa2,jobs,jobs_source,attr_HW,attr_HE,attr_HS,attr_HO,attr_WB,attr_NHB
10601110725,106011107,Branxton - Greta - Pokolbin,core,0.1755,346808.4,6385934.5,151.3665573,-32.653609,496,190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4941,0.0,modelled_from_WPP_SA2,0.0,9.92,0.0,0.0,0.0,0.0
10601110726,106011107,Branxton - Greta - Pokolbin,core,0.1193,347279.0,6385999.6,151.3715843,-32.6530874,338,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4941,0.0,modelled_from_WPP_SA2,0.0,6.76,0.0,0.0,0.0,0.0
10601110727,106011107,Branxton - Greta - Pokolbin,core,1.6907,346484.7,6383000.6,151.3626241,-32.6800193,565,205,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,13.6,4941,49.9,modelled_from_WPP_SA2,49.9,11.3,0.0,30.0,0.0,0.0
10601110728,106011107,Branxton - Greta - Pokolbin,core,28.2095,346231.0,6377631.5,151.3590332,-32.7283979,196,97,0.0,2.0,5.0,0.0,0.0,6.0,1.0,7.0,1.0,60.2,4941,221.0,modelled_from_WPP_SA2,221.0,7.42,43.5,69.0,7.0,42.0
10601110729,106011107,Branxton - Greta - Pokolbin,core,0.2617,345593.2,6383241.4,151.3531596,-32.6777239,512,182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,4941,0.7,modelled_from_WPP_SA2,0.7,10.24,0.0,0.0,0.0,0.0
10601110730,106011107,Branxton - Greta - Pokolbin,core,9.8573,343189.1,6374409.1,151.3260404,-32.7570247,341,182,0.0,7.0,2.0,0.0,0.0,4.0,3.0,11.0,5.0,69.0,4941,253.3,modelled_from_WPP_SA2,253.3,12.32,83.5,64.0,11.0,56.0
10601110731,106011107,Branxton - Greta - Pokolbin,core,24.8329,344783.5,6381809.9,151.3442885,-32.6905182,360,131,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,2.0,20.4,4941,74.9,modelled_from_WPP_SA2,74.9,9.7,2.5,38.0,5.0,5.0
10601110732,106011107,Branxton - Greta - Pokolbin,core,1.0651,345722.8,6383935.9,151.3546554,-32.6714795,557,195,0.0,2.0,2.0,0.0,0.0,3.0,0.0,6.0,6.0,33.2,4941,121.9,modelled_from_WPP_SA2,121.9,14.14,31.0,35.0,6.0,26.0
10601110733,106011107,Branxton - Greta - Pokolbin,core,1.5678,342814.5,6377113.5,151.3225,-32.7325859,315,196,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,4.0,17.8,4941,65.3,modelled_from_WPP_SA2,65.3,7.8,5.5,28.0,3.0,8.0
10601110801,106011108,Cessnock,core,0.2345,345267.8,6365787.2,151.3467834,-32.8350622,539,274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459,0.0,modelled_from_WPP_SA2,0.0,10.78,0.0,0.0,0.0,0.0
10601110806,106011108,Cessnock,core,0.1427,344852.9,6366442.7,151.342462,-32.8290935,335,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7459,0.0,modelled_from_WPP_SA2,0.0,6.7,0.0,0.0,0.0,0.0
